Date,Series A (%),Series B (%),Series C (%),Series D (%) or Higher
2009-03-31,29.0,21.0,19.0,0.0
2009-06-30,33.0,35.0,21.0,29.0
2009-09-30,30.0,69.0,18.0,8.0
2009-12-31,67.0,42.0,47.0,37.0
2010-03-31,50.0,80.0,50.0,61.0
2010-06-30,71.0,79.0,60.0,33.0
2010-09-30,25.0,77.0,53.0,33.0
2010-12-31,69.0,74.0,65.0,68.0
2011-03-31,86.0,73.0,73.0,58.0
2011-06-30,82.0,75.0,47.0,74.0
2011-09-30,43.0,84.0,69.0,79.0
2011-12-31,67.0,87.0,83.0,73.0
2012-03-31,100.0,76.0,71.0,87.0
2012-06-30,67.0,83.0,77.0,73.0
2012-09-30,47.0,77.0,80.0,80.0
2012-12-31,90.0,92.0,67.0,56.0
2013-03-31,64.0,85.0,56.0,76.0
2013-06-30,100.0,78.0,50.0,54.0
2013-09-30,71.0,91.0,84.0,73.0
2013-12-31,73.0,85.0,80.0,56.0
2014-03-31,92.0,82.0,82.0,67.0
2014-06-30,79.0,83.0,97.0,67.0
2014-09-30,95.0,85.0,73.0,92.0
2014-12-31,93.0,82.0,87.0,58.0
2015-03-31,94.0,87.0,89.0,78.0
2015-06-30,95.0,93.0,100.0,73.0
2015-09-30,94.0,82.0,92.0,87.0
2015-12-31,92.0,96.0,87.0,71.0
2016-03-31,90.0,88.0,91.0,82.0
