Date,Seed,Early Stage,Expansion,Later Stage,Total
1985-12-31,220.0,81.0,108.0,24.0,433.0
1986-12-31,247.0,118.0,106.0,35.0,506.0
1987-12-31,230.0,199.0,119.0,32.0,580.0
1988-12-31,211.0,169.0,107.0,26.0,513.0
1989-12-31,206.0,102.0,113.0,29.0,450.0
1990-12-31,119.0,121.0,88.0,23.0,351.0
1991-12-31,88.0,79.0,80.0,20.0,267.0
1992-12-31,119.0,131.0,115.0,27.0,392.0
1993-12-31,145.0,71.0,106.0,34.0,356.0
1994-12-31,189.0,112.0,107.0,22.0,430.0
1995-12-31,256.0,281.0,290.0,74.0,901.0
1996-12-31,308.0,402.0,361.0,75.0,1146.0
1997-12-31,348.0,472.0,419.0,69.0,1308.0
1998-12-31,460.0,502.0,411.0,68.0,1441.0
1999-12-31,660.0,1117.0,623.0,66.0,2466.0
2000-12-31,589.0,1914.0,797.0,92.0,3392.0
2001-12-31,222.0,692.0,279.0,42.0,1235.0
2002-12-31,130.0,468.0,196.0,53.0,847.0
2003-12-31,166.0,425.0,142.0,46.0,779.0
2004-12-31,175.0,537.0,183.0,79.0,974.0
2005-12-31,209.0,539.0,248.0,73.0,1069.0
2006-12-31,327.0,569.0,267.0,111.0,1274.0
2007-12-31,423.0,591.0,295.0,110.0,1419.0
2008-12-31,381.0,562.0,227.0,145.0,1315.0
2009-12-31,225.0,392.0,141.0,77.0,835.0
2010-12-31,276.0,558.0,167.0,97.0,1098.0
2011-12-31,348.0,733.0,169.0,109.0,1359.0
2012-12-31,223.0,864.0,156.0,92.0,1335.0
2013-12-31,199.0,993.0,162.0,84.0,1438.0
2014-12-31,163.0,976.0,195.0,106.0,1440.0
2015-12-31,146.0,1023.0,178.0,87.0,1434.0
