Date,Biotechnology,Business Products and Services,Computers and Peripherals,Consumer Products and Services,Electronics/Instrumentation,Financial Services,Healthcare Services,Industrial/Energy,IT Services,Media and Entertainment,Medical Devices and Equipment,Networking and Equipment,Other,Retailing/Distribution,Semiconductors,Software,Telecommunications,Total
1985-12-31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0
1986-12-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0
1987-12-31,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,11.0
1988-12-31,0.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,16.0
1989-12-31,1.0,0.0,4.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,21.0
1990-12-31,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,19.0
1991-12-31,1.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,16.0
1992-12-31,4.0,1.0,9.0,2.0,4.0,5.0,4.0,8.0,0.0,1.0,13.0,2.0,0.0,2.0,1.0,11.0,2.0,69.0
1993-12-31,2.0,0.0,8.0,3.0,2.0,2.0,1.0,3.0,0.0,4.0,4.0,7.0,0.0,3.0,1.0,15.0,4.0,59.0
1994-12-31,4.0,1.0,4.0,1.0,1.0,4.0,8.0,10.0,0.0,2.0,8.0,8.0,0.0,1.0,3.0,24.0,5.0,84.0
1995-12-31,10.0,0.0,5.0,1.0,1.0,4.0,9.0,5.0,2.0,3.0,7.0,8.0,1.0,1.0,3.0,29.0,3.0,92.0
1996-12-31,10.0,4.0,10.0,5.0,4.0,4.0,4.0,8.0,5.0,7.0,6.0,13.0,0.0,0.0,2.0,21.0,6.0,109.0
1997-12-31,9.0,2.0,8.0,7.0,6.0,4.0,3.0,9.0,7.0,11.0,13.0,4.0,0.0,4.0,2.0,45.0,12.0,146.0
1998-12-31,11.0,4.0,7.0,7.0,4.0,5.0,9.0,18.0,12.0,10.0,11.0,8.0,0.0,2.0,8.0,61.0,12.0,189.0
1999-12-31,12.0,4.0,11.0,11.0,3.0,13.0,2.0,11.0,16.0,19.0,10.0,22.0,0.0,7.0,9.0,59.0,19.0,228.0
2000-12-31,16.0,15.0,13.0,16.0,4.0,13.0,9.0,13.0,23.0,40.0,9.0,24.0,0.0,14.0,21.0,118.0,31.0,379.0
2001-12-31,21.0,29.0,6.0,14.0,6.0,19.0,5.0,12.0,31.0,52.0,19.0,16.0,0.0,15.0,14.0,94.0,32.0,385.0
2002-12-31,9.0,14.0,2.0,7.0,7.0,13.0,13.0,12.0,38.0,27.0,12.0,20.0,1.0,7.0,14.0,128.0,40.0,364.0
2003-12-31,15.0,15.0,8.0,12.0,4.0,9.0,3.0,9.0,25.0,15.0,9.0,23.0,1.0,7.0,12.0,120.0,37.0,324.0
2004-12-31,24.0,20.0,8.0,10.0,5.0,15.0,6.0,12.0,33.0,33.0,23.0,30.0,1.0,7.0,17.0,133.0,25.0,402.0
2005-12-31,30.0,22.0,8.0,11.0,3.0,12.0,12.0,22.0,22.0,31.0,27.0,22.0,1.0,7.0,17.0,163.0,36.0,446.0
2006-12-31,32.0,24.0,10.0,10.0,5.0,16.0,12.0,17.0,30.0,27.0,25.0,28.0,0.0,8.0,20.0,177.0,41.0,482.0
2007-12-31,32.0,33.0,3.0,10.0,6.0,12.0,11.0,20.0,37.0,50.0,27.0,15.0,2.0,9.0,19.0,159.0,43.0,488.0
2008-12-31,25.0,14.0,7.0,11.0,8.0,10.0,12.0,22.0,27.0,36.0,13.0,24.0,2.0,5.0,24.0,146.0,30.0,416.0
2009-12-31,19.0,13.0,4.0,7.0,4.0,5.0,7.0,16.0,21.0,33.0,26.0,23.0,0.0,1.0,22.0,121.0,29.0,351.0
2010-12-31,38.0,14.0,6.0,7.0,5.0,13.0,14.0,24.0,44.0,64.0,21.0,23.0,1.0,5.0,27.0,173.0,46.0,525.0
2011-12-31,34.0,13.0,7.0,8.0,4.0,9.0,15.0,20.0,47.0,65.0,37.0,18.0,2.0,1.0,15.0,174.0,24.0,493.0
2012-12-31,33.0,15.0,6.0,12.0,5.0,9.0,9.0,31.0,51.0,46.0,32.0,12.0,0.0,4.0,18.0,163.0,31.0,477.0
2013-12-31,22.0,4.0,7.0,7.0,6.0,8.0,6.0,14.0,25.0,47.0,24.0,6.0,1.0,5.0,14.0,173.0,16.0,385.0
2014-12-31,36.0,8.0,5.0,9.0,3.0,3.0,1.0,26.0,55.0,55.0,19.0,4.0,0.0,6.0,15.0,199.0,15.0,459.0
