Date,Biotechnology,Business Products and Services,Computers and Peripherals,Consumer Products and Services,Electronics/Instrumentation,Financial Services,Healthcare Services,Industrial/Energy,IT Services,Media and Entertainment,Medical Devices and Equipment,Networking and Equipment,Other,Retailing/Distribution,Semiconductors,Software,Telecommunications,Total
1985-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
1986-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0
1987-12-31,0.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,25.0,0.0,667.0
1988-12-31,0.0,0.0,45.0,0.0,81.0,140.0,199.0,238.0,0.0,0.0,0.0,18.0,0.0,95.0,0.0,0.0,0.0,817.0
1989-12-31,0.0,0.0,61.0,0.0,0.0,0.0,60.0,59.0,0.0,0.0,317.0,250.0,0.0,0.0,0.0,0.0,0.0,747.0
1990-12-31,0.0,0.0,79.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,120.0
1991-12-31,68.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,190.0
1992-12-31,33.0,0.0,16.0,1.0,36.0,1204.0,88.0,203.0,0.0,0.0,234.0,0.0,0.0,35.0,0.0,264.0,4.0,2119.0
1993-12-31,25.0,0.0,110.0,0.0,13.0,91.0,0.0,122.0,0.0,119.0,43.0,317.0,0.0,80.0,0.0,116.0,298.0,1333.0
1994-12-31,9.0,0.0,58.0,26.0,49.0,144.0,178.0,764.0,0.0,29.0,295.0,352.0,0.0,0.0,59.0,455.0,790.0,3208.0
1995-12-31,89.0,0.0,140.0,23.0,42.0,734.0,475.0,53.0,15.0,38.0,110.0,1024.0,0.0,29.0,84.0,617.0,328.0,3802.0
1996-12-31,388.0,130.0,846.0,46.0,12.0,46.0,130.0,1127.0,315.0,2160.0,298.0,1090.0,0.0,0.0,54.0,1228.0,381.0,8250.0
1997-12-31,265.0,181.0,373.0,237.0,105.0,34.0,180.0,193.0,80.0,2106.0,507.0,178.0,0.0,39.0,11.0,2196.0,1133.0,7818.0
1998-12-31,141.0,47.0,422.0,388.0,60.0,459.0,64.0,381.0,523.0,343.0,130.0,981.0,0.0,28.0,627.0,2888.0,521.0,8002.0
1999-12-31,846.0,397.0,721.0,503.0,133.0,1299.0,0.0,962.0,699.0,10878.0,298.0,11521.0,0.0,689.0,1903.0,5621.0,2241.0,38711.0
2000-12-31,1206.0,1637.0,4610.0,2611.0,3456.0,1355.0,286.0,1396.0,2384.0,3227.0,433.0,18359.0,0.0,824.0,7210.0,23475.0,7528.0,79996.0
2001-12-31,679.0,157.0,357.0,519.0,167.0,617.0,177.0,858.0,491.0,6315.0,932.0,5425.0,0.0,4.0,2099.0,3689.0,2630.0,25116.0
2002-12-31,115.0,870.0,51.0,343.0,71.0,557.0,818.0,182.0,612.0,999.0,414.0,818.0,350.0,0.0,2703.0,1886.0,1125.0,11913.0
2003-12-31,259.0,151.0,47.0,418.0,6.0,98.0,37.0,1006.0,1002.0,209.0,580.0,813.0,0.0,857.0,361.0,2098.0,301.0,8244.0
2004-12-31,688.0,3024.0,680.0,444.0,116.0,380.0,679.0,2128.0,1999.0,3355.0,1168.0,1311.0,0.0,118.0,688.0,4972.0,1678.0,23428.0
2005-12-31,2478.0,132.0,248.0,582.0,72.0,890.0,624.0,1117.0,1066.0,2980.0,1268.0,1290.0,212.0,0.0,575.0,4870.0,1313.0,19717.0
2006-12-31,2104.0,409.0,492.0,486.0,38.0,985.0,968.0,1425.0,795.0,2599.0,1704.0,628.0,0.0,393.0,1029.0,7879.0,2287.0,24221.0
2007-12-31,6050.0,1694.0,6.0,245.0,87.0,1896.0,542.0,2229.0,2482.0,3039.0,1832.0,549.0,246.0,180.0,964.0,6923.0,1785.0,30746.0
2008-12-31,1320.0,570.0,49.0,284.0,80.0,988.0,27.0,832.0,745.0,2251.0,499.0,609.0,0.0,10.0,664.0,4210.0,1789.0,14926.0
2009-12-31,843.0,314.0,500.0,0.0,0.0,0.0,5.0,886.0,203.0,892.0,2569.0,643.0,0.0,930.0,628.0,1745.0,2205.0,12365.0
2010-12-31,3720.0,181.0,348.0,141.0,0.0,812.0,755.0,1276.0,1415.0,1051.0,1571.0,678.0,95.0,14.0,1047.0,3782.0,826.0,17713.0
2011-12-31,3948.0,315.0,557.0,1143.0,510.0,466.0,601.0,1674.0,2084.0,1013.0,3809.0,24.0,0.0,0.0,743.0,6860.0,451.0,24197.0
2012-12-31,2967.0,697.0,764.0,615.0,0.0,435.0,756.0,1141.0,2077.0,2430.0,1779.0,146.0,0.0,0.0,1284.0,5623.0,1980.0,22694.0
2013-12-31,3075.0,0.0,945.0,0.0,115.0,0.0,250.0,455.0,898.0,1382.0,1493.0,430.0,0.0,30.0,1601.0,5686.0,550.0,16910.0
2014-12-31,6086.0,4.0,1881.0,3270.0,1.0,117.0,0.0,766.0,2112.0,1460.0,2670.0,119.0,0.0,1726.0,787.0,24802.0,1665.0,47465.0
