Date,Argentina,Bahamas,Bermuda,Canada,China,France,Germany,Hong Kong,India,Israel,Malaysia,Netherlands,Norway,Russia,South Korea,Switzerland,Taiwan,United Kingdom,United States
2005-12-31,,,,1.0,5.0,,,,,2.0,,,,,2.0,,1.0,,47.0
2006-12-31,,1.0,,,5.0,,,,,1.0,,,1.0,1.0,1.0,,,,57.0
2007-12-31,1.0,,,,12.0,,,,,,,,,,,,,,77.0
2008-12-31,,,,,,,,,,,,,,,,,,,7.0
2009-12-31,,,,,2.0,,,,,,,,,,,,,,11.0
2010-12-31,,,,1.0,19.0,,,1.0,1.0,,,,,,,,,,45.0
2011-12-31,,,1.0,,8.0,1.0,,,,,,1.0,,1.0,,,,,38.0
2012-12-31,,,,,2.0,,,,,,,,,,,,,,47.0
2013-12-31,,,,,4.0,1.0,,,,2.0,,1.0,,,,,,1.0,72.0
2014-12-31,,,,2.0,7.0,,1.0,,,2.0,1.0,,,,,1.0,,1.0,100.0
