Date,CA,NY,MA,CT,IL,VA,PA,TX,FL,LA,AL,WA,NJ,MD,MI,CO,OH,GA,TN,IA,MO,UT,KY,NC,HI,OR,AZ,DC,VT,WI,SC,AR,MT,DE,ID,ND,MN,KS,OK,NH,MS,IN,NM,RI,WV,ME,WY,SD,UN,NE,NV
1985-12-31,1389.59,201.88,394.38,282.27,51.43,0.0,54.05,37.41,9.7,0.0,150.0,25.0,253.67,4.2,5.0,31.5,2.56,0.0,20.0,10.73,643.5,0.0,0.0,6.5,0.0,0.0,0.0,38.74,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,49.42,0.0,0.0,36.15,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986-12-31,969.35,1460.41,356.09,155.86,47.02,3.5,73.06,33.48,0.0,0.0,0.0,100.73,61.34,7.47,0.0,70.55,0.0,0.0,23.45,0.0,0.0,10.5,0.0,7.0,0.0,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.75,0.0,31.82,0.0,0.0,10.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-12-31,1268.36,546.89,973.09,310.63,324.62,10.0,54.65,231.25,36.0,0.0,0.0,7.1,119.67,24.18,6.7,32.23,86.98,15.1,72.5,60.05,33.26,0.8,0.0,31.48,0.0,60.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.04,0.0,0.0,0.0,0.0,0.0
1988-12-31,985.71,279.0,563.54,321.51,157.79,12.8,12.1,40.69,10.7,0.0,0.0,59.51,0.35,0.0,32.5,69.9,75.0,65.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,37.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.5,0.0,0.0,40.0,0.0,27.3,2.06,24.5,0.0,947.6,0.0,0.0,0.0,0.0,0.0
1989-12-31,1535.41,2260.07,326.62,61.5,26.2,15.0,117.98,161.45,29.3,0.0,0.0,0.0,125.0,49.25,0.0,79.71,0.0,0.0,34.07,0.0,0.0,0.0,0.0,38.12,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.3,0.0,0.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-12-31,1090.69,489.77,449.47,109.5,57.2,2.0,44.52,142.81,0.0,0.0,0.0,0.0,243.46,13.61,0.0,0.4,30.38,14.0,0.0,0.0,53.13,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,161.8,0.0,0.0,0.0,0.0,4.7,155.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
1991-12-31,549.12,473.9,180.08,150.0,94.4,0.0,166.6,50.0,35.0,0.0,0.0,5.0,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.0,0.0,15.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-12-31,1311.19,493.63,1051.12,300.3,247.17,17.0,30.1,381.19,0.0,10.6,0.0,48.0,110.0,0.0,0.0,0.0,67.0,0.0,40.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.3,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,2.0,0.0,0.0,62.5,0.0,0.0
1993-12-31,1386.7,940.19,367.79,419.25,277.82,5.0,109.7,137.0,59.0,14.2,0.0,39.9,176.58,224.9,3.0,114.22,4.43,56.0,0.0,0.0,63.6,0.0,14.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-12-31,1764.06,1860.48,1158.41,388.28,182.81,0.0,181.65,282.5,105.0,169.0,0.0,36.87,401.3,479.2,13.5,0.0,85.97,0.0,115.9,0.0,0.0,27.0,7.4,63.45,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,25.0,0.0,0.0,164.05,0.0,0.0,0.0,0.0,20.0,6.1,0.0,0.0,58.8,0.0,0.0,0.0,0.0,0.0
