Year,Number of Funds,Venture Capital Raised ($M)
2003-12-31,54.0,5588.4
2004-03-31,49.0,2666.0
2004-06-30,55.0,3234.6
2004-09-30,54.0,4829.4
2004-12-31,65.0,6424.3
2005-03-31,61.0,5201.4
2005-06-30,61.0,8011.0
2005-09-30,63.0,5563.5
2005-12-31,83.0,9276.2
2006-03-31,75.0,6573.7
2006-06-30,80.0,14531.5
2006-09-30,67.0,5016.7
2006-12-31,70.0,5357.5
2007-03-31,81.0,6485.5
2007-06-30,86.0,8661.1
2007-09-30,77.0,8595.8
2007-12-31,86.0,12322.5
2008-03-31,74.0,7192.4
2008-06-30,83.0,9236.5
2008-09-30,62.0,8449.9
2008-12-31,49.0,2709.1
2009-03-31,58.0,4945.9
2009-06-30,42.0,5008.1
2009-09-30,36.0,2345.4
2009-12-31,49.0,4107.4
2010-03-31,47.0,4268.2
2010-06-30,49.0,2100.8
2010-09-30,56.0,3688.4
2010-12-31,50.0,3712.2
2011-03-31,49.0,8111.5
2011-06-30,48.0,2713.3
2011-09-30,66.0,2116.0
2011-12-31,53.0,6105.0
2012-03-31,53.0,4704.0
2012-06-30,50.0,6316.4
2012-09-30,59.0,5098.4
2012-12-31,44.0,3320.2
2013-03-31,35.0,4053.1
2013-06-30,55.0,3328.6
2013-09-30,64.0,4430.7
2013-12-31,54.0,4939.5
2014-03-31,69.0,10036.1
2014-06-30,83.0,8024.1
2014-09-30,66.0,6162.7
2014-12-31,75.0,5603.5
