Date,AK/HI/PR,Colorado,DC/Metroplex,LA/Orange County,Midwest,New England,North Central,Northwest,NY Metro,Philadelphia Metro,Sacramento/N.Cal,San Diego,Silicon Valley,South Central,Southeast,SouthWest,Texas,Unknown,Upstate NY,Total
1985-12-31,323.0,235.0,89.0,98.0,90.0,91.0,45.0,106.0,47.0,38.0,43.0,43.0,20.0,37.0,17.0,11.0,11.0,1.0,,1345.0
1986-12-31,340.0,214.0,100.0,116.0,101.0,117.0,45.0,93.0,49.0,35.0,35.0,58.0,30.0,50.0,10.0,10.0,18.0,,,1421.0
1987-12-31,343.0,257.0,131.0,133.0,114.0,134.0,65.0,106.0,62.0,54.0,54.0,62.0,42.0,54.0,10.0,12.0,12.0,,1.0,1646.0
1988-12-31,362.0,231.0,108.0,101.0,106.0,115.0,59.0,105.0,70.0,44.0,56.0,63.0,26.0,52.0,10.0,6.0,10.0,,2.0,1526.0
1989-12-31,394.0,222.0,121.0,127.0,112.0,113.0,51.0,91.0,64.0,41.0,56.0,53.0,32.0,39.0,12.0,7.0,6.0,,3.0,1544.0
1990-12-31,398.0,217.0,90.0,103.0,97.0,130.0,62.0,85.0,48.0,48.0,47.0,49.0,22.0,44.0,6.0,5.0,10.0,,1.0,1462.0
1991-12-31,337.0,170.0,89.0,99.0,89.0,112.0,54.0,70.0,41.0,43.0,43.0,35.0,30.0,40.0,4.0,4.0,9.0,3.0,1.0,1273.0
1992-12-31,421.0,159.0,81.0,93.0,97.0,108.0,48.0,70.0,50.0,65.0,46.0,53.0,34.0,39.0,9.0,5.0,9.0,3.0,2.0,1392.0
1993-12-31,316.0,149.0,80.0,85.0,63.0,117.0,41.0,71.0,49.0,47.0,49.0,48.0,30.0,38.0,10.0,6.0,8.0,1.0,4.0,1212.0
1994-12-31,336.0,146.0,85.0,83.0,55.0,112.0,47.0,69.0,50.0,46.0,61.0,53.0,29.0,37.0,5.0,9.0,10.0,2.0,2.0,1237.0
1995-12-31,4.0,58.0,71.0,93.0,132.0,232.0,70.0,83.0,136.0,78.0,7.0,77.0,509.0,15.0,184.0,37.0,101.0,2.0,8.0,1897.0
1996-12-31,9.0,83.0,111.0,132.0,190.0,333.0,70.0,111.0,160.0,93.0,9.0,109.0,767.0,20.0,229.0,55.0,138.0,7.0,9.0,2635.0
1997-12-31,6.0,98.0,134.0,164.0,237.0,387.0,116.0,134.0,242.0,142.0,7.0,100.0,867.0,25.0,299.0,71.0,175.0,7.0,21.0,3232.0
1998-12-31,5.0,128.0,163.0,212.0,249.0,473.0,109.0,132.0,279.0,137.0,17.0,122.0,1042.0,27.0,313.0,89.0,201.0,15.0,31.0,3744.0
1999-12-31,5.0,161.0,272.0,355.0,309.0,667.0,114.0,263.0,493.0,145.0,19.0,161.0,1687.0,30.0,454.0,116.0,320.0,3.0,31.0,5605.0
2000-12-31,15.0,223.0,509.0,514.0,514.0,908.0,151.0,332.0,813.0,229.0,36.0,236.0,2161.0,50.0,666.0,148.0,484.0,16.0,36.0,8041.0
2001-12-31,10.0,117.0,261.0,249.0,276.0,596.0,126.0,190.0,447.0,143.0,27.0,158.0,1107.0,28.0,391.0,89.0,344.0,8.0,29.0,4596.0
2002-12-31,3.0,92.0,199.0,161.0,242.0,460.0,77.0,143.0,229.0,102.0,7.0,116.0,824.0,24.0,268.0,68.0,177.0,,25.0,3217.0
2003-12-31,8.0,72.0,182.0,147.0,175.0,455.0,73.0,110.0,193.0,89.0,11.0,127.0,879.0,19.0,246.0,53.0,175.0,,23.0,3037.0
2004-12-31,6.0,72.0,187.0,151.0,176.0,434.0,79.0,149.0,225.0,104.0,9.0,136.0,975.0,31.0,240.0,56.0,177.0,,29.0,3236.0
2005-12-31,8.0,90.0,224.0,176.0,182.0,443.0,68.0,160.0,190.0,98.0,11.0,148.0,1007.0,11.0,194.0,80.0,183.0,,29.0,3302.0
2006-12-31,14.0,115.0,216.0,221.0,227.0,463.0,74.0,179.0,296.0,117.0,9.0,133.0,1239.0,25.0,234.0,91.0,204.0,,40.0,3897.0
2007-12-31,10.0,114.0,219.0,239.0,271.0,530.0,93.0,217.0,302.0,135.0,17.0,174.0,1307.0,28.0,247.0,108.0,189.0,1.0,33.0,4234.0
2008-12-31,9.0,120.0,210.0,251.0,300.0,514.0,87.0,201.0,353.0,148.0,19.0,134.0,1305.0,41.0,231.0,88.0,165.0,,31.0,4207.0
2009-12-31,3.0,92.0,138.0,178.0,252.0,389.0,70.0,128.0,292.0,100.0,9.0,118.0,999.0,32.0,159.0,72.0,126.0,1.0,13.0,3171.0
2010-12-31,3.0,88.0,156.0,225.0,280.0,417.0,57.0,160.0,395.0,130.0,9.0,136.0,1111.0,43.0,214.0,60.0,169.0,1.0,21.0,3675.0
2011-12-31,1.0,116.0,168.0,236.0,311.0,454.0,68.0,164.0,434.0,121.0,7.0,114.0,1305.0,56.0,215.0,85.0,171.0,1.0,22.0,4049.0
2012-12-31,4.0,110.0,173.0,281.0,313.0,472.0,53.0,154.0,424.0,124.0,5.0,110.0,1248.0,24.0,221.0,81.0,171.0,1.0,22.0,3991.0
2013-12-31,1.0,85.0,182.0,272.0,420.0,438.0,69.0,170.0,479.0,129.0,8.0,103.0,1349.0,29.0,275.0,84.0,161.0,,39.0,4293.0
2014-12-31,1.0,93.0,197.0,293.0,383.0,453.0,92.0,147.0,485.0,120.0,11.0,102.0,1464.0,28.0,257.0,93.0,187.0,1.0,34.0,4441.0
2015-12-31,,87.0,169.0,326.0,380.0,492.0,73.0,165.0,512.0,124.0,12.0,101.0,1333.0,29.0,276.0,106.0,163.0,3.0,29.0,4380.0
