Date,Seed,Early Stage,Expansion,Later Stage,Total
1985-03-31,110.0,88.0,138.0,65.0,401.0
1985-06-30,88.0,69.0,122.0,40.0,319.0
1985-09-30,61.0,60.0,114.0,37.0,272.0
1985-12-31,98.0,73.0,151.0,31.0,353.0
1986-03-31,134.0,111.0,166.0,60.0,471.0
1986-06-30,107.0,70.0,136.0,55.0,368.0
1986-09-30,65.0,72.0,96.0,31.0,264.0
1986-12-31,82.0,80.0,106.0,50.0,318.0
1987-03-31,116.0,131.0,182.0,64.0,493.0
1987-06-30,101.0,83.0,139.0,64.0,387.0
1987-09-30,85.0,103.0,158.0,51.0,397.0
1987-12-31,85.0,95.0,137.0,52.0,369.0
1988-03-31,120.0,99.0,158.0,54.0,431.0
1988-06-30,79.0,94.0,182.0,48.0,403.0
1988-09-30,88.0,87.0,133.0,42.0,350.0
1988-12-31,84.0,79.0,141.0,38.0,342.0
1989-03-31,106.0,101.0,215.0,52.0,474.0
1989-06-30,100.0,65.0,160.0,33.0,358.0
1989-09-30,77.0,84.0,127.0,38.0,326.0
1989-12-31,72.0,88.0,162.0,64.0,386.0
1990-03-31,60.0,87.0,148.0,55.0,350.0
1990-06-30,69.0,97.0,153.0,57.0,376.0
1990-09-30,59.0,73.0,145.0,48.0,325.0
1990-12-31,70.0,113.0,157.0,71.0,411.0
1991-03-31,51.0,79.0,137.0,49.0,316.0
1991-06-30,49.0,69.0,127.0,69.0,314.0
1991-09-30,42.0,60.0,126.0,54.0,282.0
1991-12-31,51.0,70.0,154.0,86.0,361.0
1992-03-31,49.0,73.0,156.0,74.0,352.0
1992-06-30,68.0,86.0,160.0,47.0,361.0
1992-09-30,49.0,52.0,104.0,44.0,249.0
1992-12-31,86.0,80.0,186.0,78.0,430.0
1993-03-31,69.0,41.0,145.0,67.0,322.0
1993-06-30,68.0,49.0,121.0,53.0,291.0
1993-09-30,66.0,38.0,116.0,52.0,272.0
1993-12-31,87.0,56.0,133.0,51.0,327.0
1994-03-31,91.0,64.0,105.0,50.0,310.0
1994-06-30,67.0,61.0,111.0,69.0,308.0
1994-09-30,83.0,54.0,98.0,43.0,278.0
1994-12-31,91.0,77.0,115.0,58.0,341.0
1995-03-31,125.0,130.0,187.0,61.0,503.0
1995-06-30,95.0,136.0,179.0,55.0,465.0
1995-09-30,95.0,116.0,164.0,58.0,433.0
1995-12-31,116.0,137.0,176.0,64.0,493.0
1996-03-31,130.0,148.0,235.0,71.0,584.0
1996-06-30,140.0,206.0,247.0,82.0,675.0
1996-09-30,97.0,175.0,245.0,85.0,602.0
1996-12-31,137.0,225.0,318.0,96.0,776.0
1997-03-31,163.0,201.0,310.0,100.0,774.0
1997-06-30,120.0,208.0,361.0,87.0,776.0
1997-09-30,120.0,228.0,320.0,90.0,758.0
1997-12-31,139.0,259.0,411.0,106.0,915.0
1998-03-31,152.0,242.0,366.0,108.0,868.0
1998-06-30,162.0,221.0,407.0,121.0,911.0
1998-09-30,164.0,243.0,405.0,114.0,926.0
1998-12-31,192.0,313.0,394.0,124.0,1023.0
1999-03-31,166.0,245.0,383.0,140.0,934.0
1999-06-30,211.0,380.0,567.0,174.0,1332.0
1999-09-30,249.0,448.0,595.0,150.0,1442.0
1999-12-31,185.0,662.0,900.0,145.0,1892.0
2000-03-31,196.0,763.0,1009.0,192.0,2160.0
2000-06-30,197.0,793.0,981.0,172.0,2143.0
2000-09-30,172.0,680.0,899.0,207.0,1958.0
2000-12-31,138.0,619.0,814.0,209.0,1780.0
2001-03-31,80.0,436.0,650.0,155.0,1321.0
2001-06-30,73.0,338.0,670.0,156.0,1237.0
2001-09-30,68.0,271.0,543.0,148.0,1030.0
2001-12-31,58.0,254.0,529.0,160.0,1001.0
2002-03-31,47.0,247.0,410.0,160.0,864.0
2002-06-30,53.0,242.0,447.0,136.0,878.0
2002-09-30,40.0,193.0,348.0,128.0,709.0
2002-12-31,41.0,193.0,380.0,138.0,752.0
2003-03-31,57.0,188.0,346.0,132.0,723.0
2003-06-30,60.0,215.0,320.0,160.0,755.0
2003-09-30,44.0,183.0,336.0,168.0,731.0
2003-12-31,55.0,213.0,353.0,192.0,813.0
2004-03-31,46.0,207.0,281.0,205.0,739.0
2004-06-30,75.0,238.0,349.0,216.0,878.0
2004-09-30,45.0,222.0,261.0,194.0,722.0
2004-12-31,68.0,232.0,310.0,268.0,878.0
2005-03-31,52.0,212.0,275.0,223.0,762.0
2005-06-30,68.0,219.0,295.0,280.0,862.0
2005-09-30,68.0,214.0,242.0,286.0,810.0
2005-12-31,76.0,214.0,304.0,272.0,866.0
2006-03-31,82.0,205.0,328.0,290.0,905.0
2006-06-30,93.0,241.0,360.0,314.0,1008.0
2006-09-30,121.0,236.0,345.0,253.0,955.0
2006-12-31,100.0,319.0,347.0,253.0,1019.0
2007-03-31,90.0,257.0,277.0,282.0,906.0
2007-06-30,139.0,326.0,322.0,326.0,1113.0
2007-09-30,136.0,257.0,319.0,336.0,1048.0
2007-12-31,159.0,289.0,359.0,339.0,1146.0
2008-03-31,135.0,265.0,344.0,310.0,1054.0
2008-06-30,134.0,301.0,331.0,338.0,1104.0
2008-09-30,156.0,284.0,282.0,323.0,1045.0
2008-12-31,112.0,287.0,285.0,278.0,962.0
2009-03-31,70.0,195.0,183.0,229.0,677.0
2009-06-30,87.0,213.0,217.0,244.0,761.0
2009-09-30,99.0,244.0,219.0,199.0,761.0
2009-12-31,119.0,321.0,269.0,231.0,940.0
2010-03-31,93.0,268.0,252.0,205.0,818.0
2010-06-30,119.0,361.0,300.0,239.0,1019.0
2010-09-30,99.0,308.0,244.0,230.0,881.0
2010-12-31,98.0,334.0,278.0,198.0,908.0
2011-03-31,94.0,344.0,225.0,234.0,897.0
2011-06-30,128.0,392.0,275.0,279.0,1074.0
2011-09-30,114.0,401.0,277.0,212.0,1004.0
2011-12-31,109.0,425.0,244.0,193.0,971.0
2012-03-31,61.0,350.0,221.0,229.0,861.0
2012-06-30,78.0,433.0,250.0,197.0,958.0
2012-09-30,73.0,411.0,244.0,192.0,920.0
2012-12-31,68.0,453.0,247.0,216.0,984.0
2013-03-31,54.0,447.0,242.0,211.0,954.0
2013-06-30,50.0,560.0,243.0,198.0,1051.0
2013-09-30,64.0,604.0,245.0,193.0,1106.0
2013-12-31,75.0,591.0,303.0,213.0,1182.0
2014-03-31,46.0,514.0,279.0,199.0,1038.0
2014-06-30,65.0,554.0,328.0,248.0,1195.0
2014-09-30,51.0,543.0,265.0,220.0,1079.0
2014-12-31,45.0,591.0,290.0,203.0,1129.0
2015-03-31,26.0,518.0,297.0,222.0,1063.0
2015-06-30,48.0,603.0,327.0,228.0,1206.0
2015-09-30,59.0,600.0,274.0,216.0,1149.0
2015-12-31,52.0,494.0,247.0,169.0,962.0
