Date,Biotechnology,Business Products and Services,Computers and Peripherals,Consumer Products and Services,Electronics/Instrumentation,Financial Services,Healthcare Services,Industrial/Energy,IT Services,Media and Entertainment,Medical Devices and Equipment,Networking and Equipment,Other,Retailing/Distribution,Semiconductors,Software,Telecommunications
2000-12-31,4.5,2.0,4.3,1.4,3.4,1.0,3.3,3.4,1.9,4.3,5.1,3.3,1.3,1.9,5.5,3.5,3.6
2001-12-31,4.5,,,3.7,6.3,12.9,5.3,1.1,,,5.2,4.2,2.6,4.3,2.9,4.2,1.4
2002-12-31,8.4,2.7,15.7,4.6,,1.9,7.1,,,4.4,3.7,,,3.4,,3.3,
2003-12-31,6.0,5.7,,4.3,,5.0,5.7,,,5.7,,,,4.0,5.3,6.1,6.5
2004-12-31,5.6,,,5.5,,5.5,8.9,3.1,5.3,6.0,8.1,6.1,,,6.5,5.3,5.3
2005-12-31,5.6,4.3,0.8,5.5,,5.0,3.9,8.2,3.8,4.6,6.6,,,6.1,4.3,5.4,5.0
2006-12-31,5.3,,,4.9,,4.7,,2.1,6.0,8.4,6.9,7.0,,1.5,6.7,6.2,4.4
2007-12-31,5.1,6.1,6.7,17.8,,3.1,9.9,1.6,6.5,6.4,6.7,6.3,,3.1,7.9,6.7,6.6
2008-12-31,7.0,,8.7,,,,10.2,,,,6.0,,,,,6.7,
2009-12-31,10.4,,,5.3,7.8,,2.0,1.4,,,,,,,,6.4,10.4
2010-12-31,5.9,0.6,,5.1,,7.0,2.6,2.8,6.2,9.1,5.2,7.4,,2.2,4.9,7.1,8.5
2011-12-31,6.6,4.2,7.3,3.8,12.5,,,7.0,8.9,6.4,5.5,,,,7.6,8.0,8.0
2012-12-31,5.9,5.7,,7.2,,6.7,,5.2,10.1,6.1,4.9,10.1,,,13.1,8.7,9.4
2013-12-31,8.2,,5.0,6.4,,3.3,,,9.9,7.9,7.5,5.7,,,8.8,8.0,16.9
2014-12-31,7.2,,,5.1,,8.3,7.3,12.0,6.9,7.0,9.1,8.6,,5.0,,8.0,
