Date,Biotechnology,Business Products and Services,Computers and Peripherals,Consumer Products and Services,Electronics/Instrumentation,Financial Services,Healthcare Services,Industrial/Energy,IT Services,Media and Entertainment,Medical Devices and Equipment,Networking and Equipment,Other,Retailing/Distribution,Semiconductors,Software,Telecommunications
2000-12-31,4.3,1.7,2.8,1.5,2.7,1.0,3.3,3.2,1.8,3.2,4.8,3.0,1.3,1.8,3.7,3.3,3.1
2001-12-31,4.6,,,4.6,6.3,12.9,5.8,0.4,,,4.5,4.2,2.6,4.3,2.9,4.6,1.4
2002-12-31,6.7,2.7,15.7,4.6,,1.9,7.1,,,3.5,3.2,,,3.4,,3.0,
2003-12-31,5.1,5.7,,4.3,,4.7,5.7,,,5.7,,,,4.0,4.1,5.6,6.5
2004-12-31,5.1,,,5.2,,5.3,8.9,3.1,5.3,5.8,7.3,6.1,,,6.4,5.5,5.0
2005-12-31,5.5,4.4,0.8,5.5,,5.0,3.9,7.0,3.8,4.4,7.1,,,6.1,5.0,5.6,4.1
2006-12-31,5.0,,,4.9,,4.8,,0.6,6.0,8.2,5.3,6.6,,1.5,6.7,5.8,4.4
2007-12-31,5.1,5.2,6.7,17.8,,3.4,9.9,1.2,7.7,7.8,6.6,6.7,,3.1,7.2,6.6,7.0
2008-12-31,7.0,,8.7,,,,10.2,,,,6.0,,,,,6.7,
2009-12-31,10.4,,,5.3,7.8,,2.0,1.4,,,,,,,,7.3,10.4
2010-12-31,4.9,0.6,,4.4,,8.9,2.6,3.1,6.4,7.4,5.2,7.4,,2.2,4.4,5.9,8.5
2011-12-31,5.5,4.2,7.3,3.8,12.5,,,7.2,8.9,5.9,5.5,,,,7.6,9.0,9.8
2012-12-31,6.0,5.7,,8.3,,6.7,,5.4,7.9,5.7,4.9,9.9,,,13.1,7.6,8.8
2013-12-31,7.5,,5.0,3.9,,3.3,,,9.1,7.6,7.7,6.2,,,9.5,6.8,16.9
2014-12-31,6.8,,,5.1,,8.5,7.3,12.0,6.8,5.1,8.2,8.6,,5.0,,6.7,
