Date,Biotechnology,Business Products and Services,Computers and Peripherals,Consumer Products and Services,Electronics/Instrumentation,Financial Services,Healthcare Services,Industrial/Energy,IT Services,Media and Entertainment,Medical Devices and Equipment,Networking and Equipment,Other,Retailing/Distribution,Semiconductors,Software,Telecommunications,Total
1985-12-31,38.0,58.0,135.0,7.0,7.0,0.0,89.0,29.0,15.0,51.0,61.0,25.0,0.0,154.0,15.0,52.0,27.0,763.0
1986-12-31,349.0,33.0,306.0,177.0,60.0,91.0,15.0,58.0,4.0,557.0,89.0,105.0,54.0,67.0,47.0,270.0,92.0,2375.0
1987-12-31,217.0,0.0,267.0,7.0,17.0,53.0,8.0,177.0,32.0,22.0,147.0,136.0,0.0,48.0,368.0,206.0,421.0,3236.0
1988-12-31,20.0,2.0,116.0,8.0,0.0,10.0,0.0,75.0,27.0,3.0,22.0,42.0,0.0,146.0,79.0,134.0,79.0,763.0
1989-12-31,51.0,0.0,150.0,91.0,0.0,47.0,14.0,127.0,0.0,17.0,71.0,43.0,0.0,35.0,62.0,135.0,30.0,873.0
1990-12-31,66.0,44.0,74.0,5.0,48.0,0.0,69.0,242.0,0.0,10.0,90.0,82.0,0.0,18.0,29.0,192.0,141.0,1108.0
1991-12-31,964.0,66.0,118.0,186.0,0.0,21.0,435.0,346.0,163.0,103.0,241.0,346.0,0.0,29.0,210.0,476.0,22.0,3726.0
1992-12-31,860.0,75.0,291.0,240.0,91.0,135.0,144.0,238.0,1161.0,253.0,601.0,284.0,12.0,265.0,86.0,409.0,203.0,5347.0
1993-12-31,486.0,193.0,203.0,318.0,280.0,51.0,132.0,670.0,41.0,710.0,254.0,233.0,0.0,569.0,311.0,846.0,766.0,6062.0
1994-12-31,257.0,70.0,110.0,58.0,155.0,237.0,180.0,405.0,68.0,562.0,388.0,469.0,0.0,71.0,164.0,447.0,277.0,3920.0
1995-12-31,437.0,35.0,339.0,335.0,296.0,273.0,162.0,495.0,308.0,141.0,995.0,313.0,0.0,111.0,696.0,2366.0,492.0,7793.0
1996-12-31,955.0,511.0,301.0,177.0,199.0,1597.0,269.0,1384.0,396.0,727.0,1666.0,749.0,0.0,358.0,36.0,1809.0,1498.0,12632.0
1997-12-31,575.0,185.0,75.0,160.0,77.0,209.0,235.0,828.0,151.0,505.0,444.0,416.0,203.0,159.0,319.0,912.0,365.0,5818.0
1998-12-31,197.0,58.0,59.0,541.0,76.0,45.0,123.0,60.0,239.0,199.0,90.0,235.0,0.0,344.0,37.0,948.0,877.0,4125.0
1999-12-31,479.0,1137.0,215.0,674.0,135.0,521.0,458.0,207.0,2141.0,2692.0,0.0,2912.0,46.0,1584.0,221.0,5618.0,4380.0,23420.0
2000-12-31,4211.0,594.0,617.0,295.0,251.0,50.0,156.0,1107.0,2030.0,1243.0,634.0,4339.0,177.0,459.0,1052.0,4924.0,5304.0,27443.0
2001-12-31,353.0,0.0,0.0,120.0,46.0,771.0,368.0,747.0,0.0,0.0,520.0,275.0,100.0,26.0,133.0,405.0,173.0,4039.0
2002-12-31,342.0,248.0,63.0,39.0,0.0,231.0,83.0,0.0,0.0,353.0,456.0,0.0,0.0,259.0,0.0,259.0,0.0,2333.0
2003-12-31,442.0,62.0,0.0,82.0,0.0,353.0,59.0,0.0,0.0,75.0,0.0,0.0,0.0,65.0,381.0,330.0,175.0,2024.0
2004-12-31,1616.0,0.0,0.0,280.0,0.0,1447.0,124.0,415.0,49.0,1434.0,806.0,69.0,0.0,0.0,522.0,2506.0,542.0,9810.0
2005-12-31,897.0,507.0,8.0,3.0,0.0,478.0,77.0,299.0,140.0,376.0,380.0,0.0,0.0,28.0,472.0,570.0,651.0,4886.0
2006-12-31,895.0,0.0,0.0,542.0,0.0,551.0,0.0,1114.0,207.0,864.0,633.0,479.0,0.0,144.0,136.0,866.0,633.0,7065.0
2007-12-31,1292.0,1202.0,124.0,154.0,0.0,1178.0,130.0,1117.0,884.0,209.0,1407.0,313.0,0.0,452.0,975.0,1361.0,943.0,11739.0
2008-12-31,6.0,0.0,188.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,344.0,0.0,765.0
2009-12-31,153.0,0.0,0.0,163.0,438.0,0.0,132.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,402.0,1980.0
2010-12-31,1068.0,190.0,0.0,727.0,0.0,558.0,138.0,955.0,379.0,1347.0,299.0,267.0,0.0,178.0,534.0,1302.0,128.0,8070.0
2011-12-31,997.0,322.0,367.0,847.0,95.0,0.0,0.0,984.0,163.0,2962.0,145.0,0.0,0.0,0.0,255.0,2500.0,805.0,10441.0
2012-12-31,854.0,152.0,0.0,262.0,0.0,117.0,0.0,247.0,636.0,16173.0,115.0,316.0,0.0,0.0,130.0,2153.0,305.0,21460.0
2013-12-31,3507.0,0.0,193.0,631.0,0.0,253.0,0.0,0.0,576.0,2839.0,283.0,301.0,0.0,0.0,274.0,2022.0,187.0,11068.0
2014-12-31,5244.0,0.0,0.0,2538.0,0.0,1302.0,272.0,83.0,428.0,629.0,586.0,279.0,0.0,487.0,0.0,3451.0,0.0,15299.0
