Date,Biotechnology,Business Products and Services,Computers and Peripherals,Consumer Products and Services,Electronics/Instrumentation,Financial Services,Healthcare Services,Industrial/Energy,IT Services,Media and Entertainment,Medical Devices and Equipment,Networking and Equipment,Other,Retailing/Distribution,Semiconductors,Software,Telecommunications,Total
1985-12-31,321.0,73.0,56.0,128.0,23.0,122.0,43.0,84.0,86.0,18.0,77.0,157.0,22.0,33.0,80.0,20.0,2.0,1345.0
1986-12-31,323.0,98.0,68.0,117.0,25.0,138.0,51.0,72.0,77.0,32.0,68.0,148.0,28.0,56.0,76.0,42.0,2.0,1421.0
1987-12-31,307.0,138.0,92.0,166.0,33.0,162.0,72.0,92.0,94.0,71.0,70.0,131.0,36.0,56.0,73.0,51.0,2.0,1646.0
1988-12-31,280.0,153.0,75.0,151.0,24.0,140.0,59.0,91.0,80.0,81.0,57.0,138.0,43.0,46.0,69.0,38.0,1.0,1526.0
1989-12-31,296.0,138.0,71.0,185.0,27.0,144.0,52.0,80.0,81.0,73.0,60.0,135.0,44.0,55.0,71.0,32.0,,1544.0
1990-12-31,302.0,145.0,58.0,191.0,31.0,157.0,67.0,78.0,63.0,46.0,50.0,104.0,25.0,41.0,74.0,28.0,2.0,1462.0
1991-12-31,287.0,138.0,54.0,161.0,30.0,125.0,48.0,51.0,67.0,38.0,47.0,78.0,24.0,38.0,65.0,20.0,2.0,1273.0
1992-12-31,296.0,164.0,79.0,188.0,22.0,132.0,51.0,60.0,64.0,34.0,38.0,84.0,24.0,46.0,83.0,25.0,2.0,1392.0
1993-12-31,243.0,136.0,82.0,148.0,19.0,102.0,54.0,45.0,73.0,35.0,27.0,65.0,31.0,52.0,65.0,32.0,3.0,1212.0
1994-12-31,253.0,140.0,97.0,128.0,33.0,101.0,66.0,38.0,73.0,28.0,37.0,66.0,31.0,45.0,77.0,22.0,2.0,1237.0
1995-12-31,175.0,54.0,92.0,112.0,48.0,48.0,74.0,130.0,62.0,138.0,179.0,82.0,10.0,51.0,64.0,436.0,142.0,1897.0
1996-12-31,234.0,71.0,93.0,133.0,41.0,61.0,139.0,155.0,128.0,191.0,214.0,124.0,9.0,68.0,77.0,687.0,210.0,2635.0
1997-12-31,244.0,95.0,115.0,162.0,52.0,88.0,155.0,213.0,160.0,219.0,275.0,140.0,10.0,90.0,118.0,829.0,267.0,3232.0
1998-12-31,275.0,138.0,88.0,164.0,54.0,117.0,156.0,188.0,208.0,268.0,297.0,211.0,11.0,117.0,125.0,990.0,337.0,3744.0
1999-12-31,267.0,277.0,104.0,282.0,51.0,184.0,161.0,204.0,465.0,707.0,291.0,277.0,20.0,230.0,149.0,1417.0,519.0,5605.0
2000-12-31,361.0,452.0,128.0,285.0,75.0,329.0,165.0,254.0,684.0,954.0,297.0,480.0,12.0,281.0,258.0,2176.0,850.0,8041.0
2001-12-31,346.0,179.0,79.0,117.0,58.0,133.0,104.0,199.0,323.0,374.0,258.0,328.0,11.0,84.0,210.0,1318.0,475.0,4596.0
2002-12-31,334.0,104.0,60.0,71.0,63.0,74.0,68.0,128.0,173.0,172.0,232.0,226.0,3.0,49.0,171.0,1016.0,273.0,3217.0
2003-12-31,368.0,97.0,52.0,46.0,55.0,63.0,68.0,139.0,147.0,131.0,249.0,184.0,1.0,32.0,216.0,978.0,211.0,3037.0
2004-12-31,404.0,82.0,61.0,65.0,71.0,68.0,62.0,160.0,147.0,147.0,286.0,191.0,6.0,38.0,258.0,962.0,228.0,3236.0
2005-12-31,421.0,74.0,60.0,78.0,87.0,59.0,62.0,158.0,175.0,212.0,280.0,186.0,3.0,38.0,220.0,958.0,231.0,3302.0
2006-12-31,498.0,94.0,58.0,77.0,92.0,85.0,52.0,224.0,237.0,333.0,356.0,130.0,2.0,42.0,268.0,1049.0,300.0,3897.0
2007-12-31,546.0,108.0,68.0,111.0,90.0,87.0,56.0,310.0,290.0,404.0,391.0,138.0,11.0,40.0,230.0,1078.0,276.0,4234.0
2008-12-31,551.0,117.0,56.0,100.0,98.0,70.0,54.0,360.0,282.0,422.0,394.0,109.0,4.0,41.0,212.0,1124.0,213.0,4207.0
2009-12-31,467.0,69.0,46.0,84.0,61.0,50.0,38.0,265.0,238.0,280.0,350.0,97.0,6.0,33.0,136.0,829.0,122.0,3171.0
2010-12-31,507.0,73.0,49.0,109.0,73.0,71.0,51.0,298.0,307.0,343.0,348.0,60.0,12.0,30.0,149.0,1086.0,109.0,3675.0
2011-12-31,475.0,50.0,56.0,138.0,56.0,62.0,50.0,329.0,370.0,432.0,369.0,54.0,9.0,60.0,142.0,1287.0,110.0,4049.0
2012-12-31,493.0,33.0,34.0,185.0,53.0,51.0,48.0,271.0,320.0,417.0,331.0,37.0,12.0,61.0,112.0,1441.0,92.0,3991.0
2013-12-31,495.0,57.0,37.0,184.0,43.0,57.0,45.0,250.0,363.0,478.0,343.0,35.0,10.0,51.0,106.0,1676.0,63.0,4293.0
2014-12-31,482.0,50.0,56.0,219.0,53.0,64.0,51.0,245.0,332.0,480.0,324.0,28.0,8.0,62.0,94.0,1853.0,40.0,4441.0
2015-12-31,475.0,49.0,59.0,241.0,64.0,82.0,78.0,261.0,336.0,419.0,308.0,31.0,28.0,55.0,80.0,1763.0,51.0,4380.0
