Date,Seed,Early Stage,Expansion,Later Stage,Total
1985-03-31,153.0,96.3,219.5,154.4,623.1
1985-06-30,146.5,185.3,319.6,89.4,740.8
1985-09-30,93.7,106.3,312.8,164.4,677.2
1985-12-31,133.0,129.9,393.7,78.5,735.1
1986-03-31,185.6,129.6,270.0,125.3,710.5
1986-06-30,270.0,135.3,381.4,93.2,879.9
1986-09-30,114.7,176.6,252.6,180.4,724.4
1986-12-31,189.4,178.7,294.8,146.7,809.6
1987-03-31,145.7,170.7,423.3,100.1,839.7
1987-06-30,199.4,183.9,354.2,164.9,902.4
1987-09-30,142.0,205.1,402.5,118.9,868.5
1987-12-31,136.3,190.8,315.1,110.7,752.9
1988-03-31,164.7,144.0,314.5,135.3,758.5
1988-06-30,150.0,216.6,497.1,105.0,968.6
1988-09-30,240.6,184.7,320.2,151.4,896.9
1988-12-31,115.2,169.4,431.4,66.0,781.9
1989-03-31,138.1,255.9,399.6,95.5,889.1
1989-06-30,174.6,127.7,434.1,97.7,834.1
1989-09-30,115.4,163.1,305.5,78.3,662.2
1989-12-31,130.3,190.9,456.6,156.4,934.2
1990-03-31,81.9,139.7,307.2,123.1,651.9
1990-06-30,116.7,199.1,356.1,105.5,777.4
1990-09-30,114.8,133.1,208.0,126.3,582.2
1990-12-31,83.8,212.5,397.9,116.7,810.9
1991-03-31,45.8,137.9,249.5,89.5,522.8
1991-06-30,84.6,130.3,276.2,115.8,606.9
1991-09-30,53.4,140.4,262.9,57.9,514.5
1991-12-31,58.0,140.0,311.7,100.1,609.9
1992-03-31,67.6,123.0,496.3,203.2,890.2
1992-06-30,210.2,187.6,434.8,175.3,1007.9
1992-09-30,71.8,102.7,352.2,107.0,633.8
1992-12-31,206.8,153.4,495.4,198.8,1054.5
1993-03-31,139.7,164.3,355.0,189.2,848.3
1993-06-30,144.1,136.8,412.3,111.2,804.4
1993-09-30,164.3,106.6,461.3,116.8,849.0
1993-12-31,181.5,168.0,637.3,168.3,1155.2
1994-03-31,190.0,177.6,325.3,186.6,879.5
1994-06-30,225.8,196.4,390.5,190.5,1003.3
1994-09-30,160.2,157.8,344.2,262.0,924.2
1994-12-31,205.1,307.9,479.1,346.6,1338.7
1995-03-31,316.6,408.8,620.0,344.5,1689.9
1995-06-30,396.6,393.6,1328.2,428.0,2546.4
1995-09-30,229.9,366.8,800.4,308.7,1705.8
1995-12-31,329.8,564.1,815.7,361.1,2070.6
1996-03-31,322.7,597.8,1151.9,346.4,2418.8
1996-06-30,431.9,714.0,1509.9,460.3,3116.1
1996-09-30,200.6,574.6,1277.0,545.4,2597.6
1996-12-31,316.5,754.1,1601.6,536.8,3208.9
1997-03-31,400.6,769.5,1358.4,594.7,3123.3
1997-06-30,330.8,846.8,1958.5,531.6,3667.8
1997-09-30,323.3,760.1,1970.6,669.3,3723.3
1997-12-31,319.5,1044.1,2301.0,795.9,4460.5
