Year,California,New York,Massachusetts,Pennsylvania,Texas,Washington,Illinois,Ohio,Colorado,Michigan,Maryland,Virginia,Connecticut,North Carolina,Tennessee,Florida,New Jersey,Georgia,Minnesota,Missouri,Oregon,Utah,D. of Columbia,Arizona,Wisconsin,New Hampshire,New Mexico,Indiana,South Carolina,Rhode Island,Kansas,Vermont,Nebraska,Oklahoma,Louisiana,Kentucky,Alabama,Delaware,Nevada,Arkansas,Maine,Hawaii,Mississippi,North Dakota,Idaho,Iowa,Montana,South Dakota,West Virginia,Alaska,Puerto Rico,Unknown,Wyoming,Total
1985-12-31,467.0,215.0,45.0,34.0,106.0,20.0,43.0,26.0,22.0,26.0,31.0,18.0,45.0,33.0,20.0,3.0,21.0,14.0,16.0,23.0,24.0,4.0,8.0,15.0,2.0,6.0,12.0,1.0,5.0,3.0,1.0,4.0,7.0,2.0,8.0,2.0,1.0,1.0,1.0,6.0,1.0,,,1.0,1.0,,1.0,,,,,,,1345.0
1986-12-31,494.0,187.0,46.0,45.0,93.0,21.0,58.0,27.0,22.0,21.0,44.0,17.0,43.0,33.0,24.0,14.0,20.0,20.0,22.0,31.0,24.0,5.0,15.0,11.0,3.0,4.0,16.0,2.0,7.0,9.0,1.0,5.0,10.0,4.0,6.0,3.0,,,,2.0,1.0,2.0,3.0,,1.0,1.0,3.0,,,,,,1.0,1421.0
1987-12-31,523.0,224.0,63.0,59.0,106.0,29.0,62.0,31.0,31.0,26.0,45.0,24.0,54.0,41.0,25.0,15.0,29.0,15.0,28.0,34.0,30.0,8.0,15.0,20.0,5.0,7.0,17.0,6.0,13.0,11.0,1.0,4.0,12.0,7.0,5.0,2.0,,5.0,1.0,2.0,,2.0,3.0,,2.0,,2.0,1.0,,,,1.0,,1646.0
1988-12-31,534.0,195.0,48.0,54.0,105.0,30.0,63.0,31.0,26.0,21.0,41.0,28.0,42.0,46.0,12.0,7.0,24.0,11.0,31.0,29.0,34.0,4.0,6.0,13.0,6.0,6.0,15.0,3.0,8.0,10.0,4.0,1.0,4.0,4.0,4.0,6.0,5.0,3.0,,2.0,1.0,,3.0,,1.0,,3.0,,,,,2.0,,1526.0
1989-12-31,568.0,182.0,49.0,41.0,91.0,37.0,53.0,61.0,30.0,18.0,31.0,19.0,55.0,48.0,16.0,6.0,22.0,18.0,27.0,30.0,27.0,2.0,6.0,24.0,1.0,7.0,6.0,3.0,11.0,13.0,3.0,4.0,7.0,5.0,6.0,,1.0,7.0,,,1.0,1.0,2.0,,,,2.0,,,,,3.0,,1544.0
1990-12-31,552.0,172.0,31.0,44.0,85.0,26.0,49.0,34.0,27.0,21.0,33.0,29.0,44.0,41.0,15.0,4.0,32.0,28.0,22.0,32.0,22.0,5.0,12.0,14.0,3.0,7.0,10.0,3.0,11.0,18.0,5.0,2.0,7.0,,6.0,,,5.0,,,3.0,1.0,3.0,,1.0,,2.0,,,,,1.0,,1462.0
1991-12-31,478.0,136.0,24.0,37.0,70.0,26.0,35.0,44.0,24.0,20.0,36.0,27.0,48.0,36.0,9.0,9.0,19.0,20.0,24.0,31.0,12.0,3.0,8.0,15.0,2.0,4.0,6.0,1.0,9.0,17.0,4.0,1.0,2.0,2.0,4.0,3.0,,10.0,,2.0,1.0,4.0,3.0,,,,3.0,,3.0,,,1.0,,1273.0
1992-12-31,573.0,135.0,38.0,61.0,70.0,37.0,53.0,40.0,20.0,21.0,37.0,25.0,44.0,33.0,6.0,8.0,25.0,20.0,11.0,26.0,12.0,3.0,1.0,22.0,,2.0,9.0,3.0,9.0,10.0,3.0,,4.0,2.0,1.0,,,7.0,1.0,1.0,4.0,4.0,1.0,,,1.0,4.0,,2.0,,1.0,2.0,,1392.0
1993-12-31,436.0,131.0,37.0,44.0,71.0,32.0,48.0,25.0,20.0,20.0,42.0,18.0,38.0,26.0,12.0,7.0,26.0,22.0,8.0,24.0,15.0,2.0,7.0,21.0,2.0,3.0,8.0,2.0,13.0,10.0,1.0,,10.0,2.0,2.0,,5.0,7.0,2.0,4.0,2.0,,,,1.0,,1.0,,1.0,,,4.0,,1212.0
1994-12-31,462.0,127.0,38.0,39.0,69.0,36.0,53.0,35.0,21.0,20.0,46.0,22.0,40.0,35.0,3.0,1.0,19.0,20.0,12.0,20.0,13.0,4.0,7.0,25.0,1.0,,9.0,2.0,8.0,4.0,3.0,5.0,4.0,3.0,,,3.0,6.0,1.0,2.0,5.0,2.0,3.0,,,,4.0,1.0,2.0,,,2.0,,1237.0
