STATE,SIC,ENTRSIZE,FIRM,ESTB,EMPL,EMPLFL,PAYR,PAYRFL,RCPT,RCPTFL,STATEDSCR,SICDSCR,ENTRSIZEDSCR
00,----,01,5541918,6894869,105299123,,3047907469,,18242632687,,United States,TOTAL OVER ALL INDUSTRIES,Total
00,----,02,719978,721844,0,,29732398,,190570902,,United States,TOTAL OVER ALL INDUSTRIES,0 employees
00,----,03,2638070,2642590,5546306,,128715872,,848057002,,United States,TOTAL OVER ALL INDUSTRIES,1-4 employees
00,----,04,1006897,1022901,6610374,,150877445,,797161654,,United States,TOTAL OVER ALL INDUSTRIES,5-9 employees
00,----,06,392360,415374,4587049,,110268415,,548464272,,United States,TOTAL OVER ALL INDUSTRIES,10-14 employees
00,----,07,201336,223716,3375087,,83536124,,402585740,,United States,TOTAL OVER ALL INDUSTRIES,15-19 employees
00,----,08,4958641,5026425,20118816,,503130254,,2786839570,,United States,TOTAL OVER ALL INDUSTRIES,< 20 employees
00,----,10,123364,144083,2691141,,67652386,,335477843,,United States,TOTAL OVER ALL INDUSTRIES,20-24 employees
00,----,11,82029,100481,2201557,,55532115,,274893321,,United States,TOTAL OVER ALL INDUSTRIES,25-29 employees
00,----,12,59556,77206,1897092,,48447807,,240810038,,United States,TOTAL OVER ALL INDUSTRIES,30-34 employees
00,----,13,44312,60125,1633533,,41708590,,216089625,,United States,TOTAL OVER ALL INDUSTRIES,35-39 employees
00,----,14,34642,49100,1451089,,37472952,,191207719,,United States,TOTAL OVER ALL INDUSTRIES,40-44 employees
00,----,15,27382,40513,1284150,,33378270,,166986749,,United States,TOTAL OVER ALL INDUSTRIES,45-49 employees
00,----,16,21919,34318,1137448,,29582463,,157127641,,United States,TOTAL OVER ALL INDUSTRIES,50-54 employees
00,----,17,17835,29399,1014946,,26551308,,139601770,,United States,TOTAL OVER ALL INDUSTRIES,55-59 employees
00,----,18,15168,25739,938721,,24729161,,126745476,,United States,TOTAL OVER ALL INDUSTRIES,60-64 employees
00,----,19,12672,22711,847903,,22383696,,115038895,,United States,TOTAL OVER ALL INDUSTRIES,65-69 employees
00,----,20,11013,20051,791795,,21051874,,105824412,,United States,TOTAL OVER ALL INDUSTRIES,70-74 employees
00,----,21,9506,18651,731075,,19333113,,97990583,,United States,TOTAL OVER ALL INDUSTRIES,75-79 employees
00,----,22,8458,17576,692780,,18554631,,100894539,,United States,TOTAL OVER ALL INDUSTRIES,80-84 employees
00,----,23,7395,15405,642936,,17201665,,89536884,,United States,TOTAL OVER ALL INDUSTRIES,85-89 employees
00,----,24,6586,14395,605348,,16208044,,83238235,,United States,TOTAL OVER ALL INDUSTRIES,90-94 employees
00,----,25,5654,12827,548177,,14829108,,78292846,,United States,TOTAL OVER ALL INDUSTRIES,95-99 employees
00,----,27,5525839,6017638,54545370,,1416200011,,7468211700,,United States,TOTAL OVER ALL INDUSTRIES,< 500 employees
00,----,29,7972,97946,5496174,,156492724,,833933340,,United States,TOTAL OVER ALL INDUSTRIES,500-999 employees
00,----,30,2659,51907,3229963,,98817322,,547876329,,United States,TOTAL OVER ALL INDUSTRIES,"1,000-1,499 employees"
00,----,31,2132,70433,4077446,,126477617,,738756251,,United States,TOTAL OVER ALL INDUSTRIES,"1,500-2,499 employees"
00,----,32,3316,656945,37950170,,1249919795,,8653855067,,United States,TOTAL OVER ALL INDUSTRIES,"2,500 + employees"
00,07--,01,115039,116973,727465,,15068445,,51397639,,United States,"AG. SERVICES, FORESTRY, FISHING",Total
00,07--,02,24906,24908,0,,539061,,2965664,,United States,"AG. SERVICES, FORESTRY, FISHING",0 employees
00,07--,03,52577,52581,109731,,2025114,,9612829,,United States,"AG. SERVICES, FORESTRY, FISHING",1-4 employees
00,07--,04,20553,20566,135331,,2406680,,8722798,,United States,"AG. SERVICES, FORESTRY, FISHING",5-9 employees
00,07--,06,7939,7958,92358,,1784150,,5650931,,United States,"AG. SERVICES, FORESTRY, FISHING",10-14 employees
00,07--,07,3396,3406,56494,,1129819,,3445289,,United States,"AG. SERVICES, FORESTRY, FISHING",15-19 employees
00,07--,08,109371,109419,393914,,7884824,,30397511,,United States,"AG. SERVICES, FORESTRY, FISHING",< 20 employees
00,07--,10,1737,1753,37553,,792946,,2365058,,United States,"AG. SERVICES, FORESTRY, FISHING",20-24 employees
00,07--,11,981,994,26168,,530059,,1562233,,United States,"AG. SERVICES, FORESTRY, FISHING",25-29 employees
00,07--,12,646,664,20259,,423466,,1294051,,United States,"AG. SERVICES, FORESTRY, FISHING",30-34 employees
00,07--,13,423,430,15240,,295518,,857708,,United States,"AG. SERVICES, FORESTRY, FISHING",35-39 employees
00,07--,14,287,306,11623,,253007,,868180,,United States,"AG. SERVICES, FORESTRY, FISHING",40-44 employees
00,07--,15,212,233,9775,,210403,,695977,,United States,"AG. SERVICES, FORESTRY, FISHING",45-49 employees
00,07--,16,140,142,7085,,154340,,441408,,United States,"AG. SERVICES, FORESTRY, FISHING",50-54 employees
00,07--,17,121,166,0,[i],0,(D),0,(D),United States,"AG. SERVICES, FORESTRY, FISHING",55-59 employees
00,07--,18,100,109,0,[i],0,(D),0,(D),United States,"AG. SERVICES, FORESTRY, FISHING",60-64 employees
00,07--,19,78,93,0,[h],0,(D),0,(D),United States,"AG. SERVICES, FORESTRY, FISHING",65-69 employees
00,07--,20,80,81,0,[i],0,(D),0,(D),United States,"AG. SERVICES, FORESTRY, FISHING",70-74 employees
00,07--,21,70,73,0,[i],0,(D),0,(D),United States,"AG. SERVICES, FORESTRY, FISHING",75-79 employees
00,07--,22,58,70,0,[h],0,(D),0,(D),United States,"AG. SERVICES, FORESTRY, FISHING",80-84 employees
00,07--,23,62,86,0,[h],0,(D),0,(D),United States,"AG. SERVICES, FORESTRY, FISHING",85-89 employees
00,07--,24,55,58,0,[h],0,(D),0,(D),United States,"AG. SERVICES, FORESTRY, FISHING",90-94 employees
00,07--,25,36,52,3354,,62247,,195517,,United States,"AG. SERVICES, FORESTRY, FISHING",95-99 employees
00,07--,27,114890,115388,0,[m],0,(D),0,(D),United States,"AG. SERVICES, FORESTRY, FISHING",< 500 employees
00,07--,29,44,234,0,[j],0,(D),0,(D),United States,"AG. SERVICES, FORESTRY, FISHING",500-999 employees
00,07--,30,13,18,3838,,117750,,390671,,United States,"AG. SERVICES, FORESTRY, FISHING","1,000-1,499 employees"
00,07--,31,21,148,10185,,280503,,713326,,United States,"AG. SERVICES, FORESTRY, FISHING","1,500-2,499 employees"
00,07--,32,71,1185,71864,,1679835,,4402937,,United States,"AG. SERVICES, FORESTRY, FISHING","2,500 + employees"
00,10--,01,20685,26853,586239,,27818457,,172831908,,United States,MINING,Total
00,10--,02,2310,2334,0,,178976,,1286138,,United States,MINING,0 employees
00,10--,03,9716,9781,19639,,569977,,3148275,,United States,MINING,1-4 employees
00,10--,04,3126,3288,20786,,631309,,3470336,,United States,MINING,5-9 employees
00,10--,06,1418,1549,16605,,541262,,2650217,,United States,MINING,10-14 employees
00,10--,07,868,984,14358,,460776,,2267261,,United States,MINING,15-19 employees
00,10--,08,17438,17936,71388,,2382300,,12822227,,United States,MINING,< 20 employees
00,10--,10,528,614,11189,,371679,,2784311,,United States,MINING,20-24 employees
00,10--,11,405,485,10539,,371594,,1633065,,United States,MINING,25-29 employees
00,10--,12,284,367,8698,,305321,,1432602,,United States,MINING,30-34 employees
00,10--,13,205,261,7232,,266666,,1244113,,United States,MINING,35-39 employees
00,10--,14,172,219,6821,,256337,,1015771,,United States,MINING,40-44 employees
00,10--,15,126,167,5411,,194610,,901307,,United States,MINING,45-49 employees
00,10--,16,103,161,5084,,182428,,1170171,,United States,MINING,50-54 employees
00,10--,17,91,136,4665,,161980,,560350,,United States,MINING,55-59 employees
00,10--,18,93,133,5037,,180040,,744172,,United States,MINING,60-64 employees
00,10--,19,67,100,3809,,160903,,1523339,,United States,MINING,65-69 employees
00,10--,20,51,87,3276,,116701,,794267,,United States,MINING,70-74 employees
00,10--,21,50,87,0,[h],0,(D),0,(D),United States,MINING,75-79 employees
00,10--,22,39,58,0,[h],0,(D),0,(D),United States,MINING,80-84 employees
00,10--,23,40,69,2840,,110838,,505453,,United States,MINING,85-89 employees
00,10--,24,44,76,3266,,141632,,903157,,United States,MINING,90-94 employees
00,10--,25,27,40,2413,,101398,,704037,,United States,MINING,95-99 employees
00,10--,27,20306,22512,233544,,8826031,,45685374,,United States,MINING,< 500 employees
00,10--,29,105,524,37444,,1797210,,11024775,,United States,MINING,500-999 employees
00,10--,30,58,499,26576,,1208123,,7964187,,United States,MINING,"1,000-1,499 employees"
00,10--,31,60,511,36386,,1598443,,11379579,,United States,MINING,"1,500-2,499 employees"
00,10--,32,156,2807,252289,,14388650,,96777993,,United States,MINING,"2,500 + employees"
00,15--,01,663082,669380,5513414,,175987014,,835144376,,United States,CONSTRUCTION,Total
00,15--,02,103769,103770,0,,3283078,,22852677,,United States,CONSTRUCTION,0 employees
00,15--,03,322907,322921,678284,,15476469,,101353251,,United States,CONSTRUCTION,1-4 employees
00,15--,04,116884,116916,764390,,18617314,,89246317,,United States,CONSTRUCTION,5-9 employees
00,15--,06,44162,44210,515831,,14147233,,62533848,,United States,CONSTRUCTION,10-14 employees
00,15--,07,22194,22238,370829,,10871619,,46658886,,United States,CONSTRUCTION,15-19 employees
00,15--,08,609916,610055,2329334,,62395713,,322644979,,United States,CONSTRUCTION,< 20 employees
00,15--,10,13154,13234,286210,,8808106,,37858612,,United States,CONSTRUCTION,20-24 employees
00,15--,11,8365,8411,223366,,7101274,,30587685,,United States,CONSTRUCTION,25-29 employees
00,15--,12,5925,5996,187724,,6099447,,26186593,,United States,CONSTRUCTION,30-34 employees
00,15--,13,4363,4405,159770,,5222209,,22192358,,United States,CONSTRUCTION,35-39 employees
00,15--,14,3262,3299,135124,,4540400,,18900630,,United States,CONSTRUCTION,40-44 employees
00,15--,15,2530,2562,117350,,4012773,,18054171,,United States,CONSTRUCTION,45-49 employees
00,15--,16,1977,2024,101484,,3467464,,14848709,,United States,CONSTRUCTION,50-54 employees
00,15--,17,1602,1641,89614,,3081611,,13000164,,United States,CONSTRUCTION,55-59 employees
00,15--,18,1295,1332,78787,,2671292,,10925212,,United States,CONSTRUCTION,60-64 employees
00,15--,19,1074,1111,71013,,2443738,,10873473,,United States,CONSTRUCTION,65-69 employees
00,15--,20,938,980,66412,,2283229,,9373402,,United States,CONSTRUCTION,70-74 employees
00,15--,21,721,772,54227,,1950718,,9024393,,United States,CONSTRUCTION,75-79 employees
00,15--,22,670,708,53642,,1887323,,8001709,,United States,CONSTRUCTION,80-84 employees
00,15--,23,581,607,49131,,1674934,,7382018,,United States,CONSTRUCTION,85-89 employees
00,15--,24,540,583,48343,,1741204,,7579977,,United States,CONSTRUCTION,90-94 employees
00,15--,25,410,434,38811,,1401683,,5835381,,United States,CONSTRUCTION,95-99 employees
00,15--,27,662374,664593,4922479,,151369556,,711810002,,United States,CONSTRUCTION,< 500 employees
00,15--,29,327,880,160400,,6530570,,36656306,,United States,CONSTRUCTION,500-999 employees
00,15--,30,112,670,84818,,3520914,,20870344,,United States,CONSTRUCTION,"1,000-1,499 employees"
00,15--,31,79,622,63664,,2617692,,16925951,,United States,CONSTRUCTION,"1,500-2,499 employees"
00,15--,32,190,2615,282053,,11948282,,48881773,,United States,CONSTRUCTION,"2,500 + employees"
00,20--,01,333670,393840,18633065,,688657210,,3990994286,,United States,MANUFACTURING,Total
00,20--,02,29134,29158,0,,2148428,,17760253,,United States,MANUFACTURING,0 employees
00,20--,03,100888,100920,229027,,5257511,,24530675,,United States,MANUFACTURING,1-4 employees
00,20--,04,60730,60808,407460,,9908605,,42330914,,United States,MANUFACTURING,5-9 employees
00,20--,06,32723,32836,384584,,10143009,,41360636,,United States,MANUFACTURING,10-14 employees
00,20--,07,20227,20402,338669,,9332347,,37474484,,United States,MANUFACTURING,15-19 employees
00,20--,08,243702,244124,1359740,,36789900,,163456962,,United States,MANUFACTURING,< 20 employees
00,20--,10,14069,14277,305953,,8776446,,34570454,,United States,MANUFACTURING,20-24 employees
00,20--,11,10153,10389,270732,,7871797,,30922029,,United States,MANUFACTURING,25-29 employees
00,20--,12,7932,8240,250149,,7348739,,29397887,,United States,MANUFACTURING,30-34 employees
00,20--,13,6263,6559,227661,,6654862,,26539428,,United States,MANUFACTURING,35-39 employees
00,20--,14,5262,5585,216805,,6495430,,26645038,,United States,MANUFACTURING,40-44 employees
00,20--,15,4252,4601,196157,,5875141,,24006816,,United States,MANUFACTURING,45-49 employees
00,20--,16,3445,3768,175384,,5222642,,22438185,,United States,MANUFACTURING,50-54 employees
00,20--,17,2882,3198,159745,,4878994,,20430575,,United States,MANUFACTURING,55-59 employees
00,20--,18,2577,2885,156195,,4713327,,19921078,,United States,MANUFACTURING,60-64 employees
00,20--,19,2157,2466,140719,,4252425,,18063384,,United States,MANUFACTURING,65-69 employees
00,20--,20,1939,2232,135742,,4035739,,16665162,,United States,MANUFACTURING,70-74 employees
00,20--,21,1735,2054,128269,,3772050,,16279391,,United States,MANUFACTURING,75-79 employees
00,20--,22,1511,1811,119968,,3656354,,15894122,,United States,MANUFACTURING,80-84 employees
00,20--,23,1359,1613,113188,,3427279,,15003841,,United States,MANUFACTURING,85-89 employees
00,20--,24,1225,1486,107987,,3305046,,14679784,,United States,MANUFACTURING,90-94 employees
00,20--,25,1064,1329,99115,,3058470,,13178853,,United States,MANUFACTURING,95-99 employees
00,20--,27,328713,345703,7277143,,217508712,,989315964,,United States,MANUFACTURING,< 500 employees
00,20--,29,2171,8101,1235695,,39914116,,210757118,,United States,MANUFACTURING,500-999 employees
00,20--,30,790,4484,753303,,25778575,,148790627,,United States,MANUFACTURING,"1,000-1,499 employees"
00,20--,31,682,5812,993188,,35650372,,213621930,,United States,MANUFACTURING,"1,500-2,499 employees"
00,20--,32,1314,29740,8373736,,369805435,,2428508647,,United States,MANUFACTURING,"2,500 + employees"
00,40--,01,218654,301628,6246969,,226052599,,1263951812,,United States,"TRANSPORTATION, COMM., UTILITIES",Total
00,40--,02,30479,30496,0,,1215236,,7370190,,United States,"TRANSPORTATION, COMM., UTILITIES",0 employees
00,40--,03,103333,103459,211155,,4381479,,24165968,,United States,"TRANSPORTATION, COMM., UTILITIES",1-4 employees
00,40--,04,35413,35924,231869,,5097692,,23750440,,United States,"TRANSPORTATION, COMM., UTILITIES",5-9 employees
00,40--,06,14407,15138,168315,,3928856,,17524051,,United States,"TRANSPORTATION, COMM., UTILITIES",10-14 employees
00,40--,07,8108,8835,135109,,3232934,,13429082,,United States,"TRANSPORTATION, COMM., UTILITIES",15-19 employees
