2002-2004 Statistics of U.S. Businesses comma-delimited files

Size Code    Enterprise Employment Size
  01		Total
  02   		0
  03		1-4
  04		5-9
  05		10-19
  06		<20
  07		20-99	
  08		100-499	
  09		<500
  10		500+
  11		10-14
  12		15-19	
  13		20-24
  14		25-29
  15		30-34
  16		35-39
  17		40-44
  18		45-49
  19		50-74
  20		75-99
  21		100-149
  22		150-199
  23		200-299
  24		300-399	
  25		400-499
  26		500-749
  27		750-999	
  28		1,000-1,499
  29		1,500-2,499
  30		2,500+
	
	
   * Order of employment size codes has changed 
     50-74, 75-99, 100-149, 150-199, 200-299, 300-399, 400-499, 500-749, and 750-999 are new employment sizes


	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
