1988-2002 Statistics of U.S. Businesses comma-delimited files

  MSA
  CODE  MSA DESCRIPTION
  0040  Abilene, TX
  0080  Akron, OH
  0120  Albany, GA
  0160  Albany--Schenectady--Troy, NY
  0200  Albuquerque, NM
  0220  Alexandria, LA
  0240  Allentown--Bethlehem--Easton, PA
  0280  Altoona, PA
  0320  Amarillo, TX
  0380  Anchorage, AK
  0440  Ann Arbor, MI
  0450  Anniston, AL
  0460  Appleton--Oshkosh--Neenah, WI
  0480  Asheville, NC
  0500  Athens, GA
  0520  Atlanta, GA
  0560  Atlantic--Cape May, NJ
  0580  Auburn--Opelika, AL
  0600  Augusta--Aiken, GA--SC
  0640  Austin--San Marcos, TX
  0680  Bakersfield, CA
  0720  Baltimore, MD
  0730  Bangor, ME
  0740  Barnstable--Yarmouth, MA
  0760  Baton Rouge, LA
  0840  Beaumont--Port Arthur, TX
  0860  Bellingham, WA
  0870  Benton Harbor, MI
  0875  Bergen--Passaic, NJ
  0880  Billings, MT
  0920  Biloxi--Gulfport--Pascagoula, MS
  0960  Binghamton, NY
  1000  Birmingham, AL
  1010  Bismarck, ND
  1020  Bloomington, IN
  1040  Bloomington--Normal, IL
  1080  Boise City, ID
  1120  Boston, MA--NH
  1125  Boulder--Longmont, CO
  1145  Brazoria, TX
  1150  Bremerton, WA
  1160  Bridgeport, CT
  1200  Brockton, MA
  1240  Brownsville--Harlingen--San Benito, TX
  1260  Bryan--College Station, TX
  1280  Buffalo--Niagara Falls, NY
  1305  Burlington, VT
  1320  Canton--Massillon, OH
  1350  Casper, WY
  1360  Cedar Rapids, IA
  1400  Champaign--Urbana, IL
  1440  Charleston--North Charleston, SC
  1480  Charleston, WV
  1520  Charlotte--Gastonia--Rock Hill, NC--SC
  1540  Charlottesville, VA
  1560  Chattanooga, TN--GA
  1580  Cheyenne, WY
  1600  Chicago, IL
  1620  Chico--Paradise, CA
  1640  Cincinnati, OH--KY--IN
  1660  Clarksville--Hopkinsville, TN--KY
  1680  Cleveland--Lorain--Elyria, OH
  1720  Colorado Springs, CO
  1740  Columbia, MO
  1760  Columbia, SC
  1800  Columbus, GA--AL
  1840  Columbus, OH
  1880  Corpus Christi, TX
  1890  Corvallis, OR
  1900  Cumberland, MD--WV
  1920  Dallas, TX
  1930  Danbury, CT
  1950  Danville, VA
  1960  Davenport--Moline--Rock Island, IA--IL
  2000  Dayton--Springfield, OH
  2020  Daytona Beach, FL
  2030  Decatur, AL
  2040  Decatur, IL
  2080  Denver, CO
  2120  Des Moines, IA
  2160  Detroit, MI
  2180  Dothan, AL
  2190  Dover, DE
  2200  Dubuque, IA
  2240  Duluth--Superior, MN--WI
  2281  Dutchess County, NY
  2290  Eau Claire, WI
  2320  El Paso, TX
  2330  Elkhart--Goshen, IN
  2335  Elmira, NY
  2340  Enid, OK
  2360  Erie, PA
  2400  Eugene--Springfield, OR
  2440  Evansville--Henderson, IN--KY
  2520  Fargo--Moorhead, ND--MN
  2560  Fayetteville, NC
  2580  Fayetteville--Springdale--Rogers, AR
  2600  Fitchburg--Leominster, MA
  2620  Flagstaff, UT--AZ
  2640  Flint, MI
  2650  Florence, AL
  2655  Florence, SC
  2670  Fort Collins--Loveland, CO
  2680  Fort Lauderdale, FL
  2700  Fort Myers--Cape Coral, FL
  2710  Fort Pierce--Port St. Lucie, FL
  2720  Fort Smith, AR--OK
  2750  Fort Walton Beach, FL
  2760  Fort Wayne, IN
  2800  Fort Worth--Arlington, TX
  2840  Fresno, CA
  2880  Gadsden, AL
  2900  Gainesville, FL
  2920  Galveston--Texas City, TX
  2960  Gary, IN
  2975  Glens Falls, NY
  2980  Goldsboro, NC
  2985  Grand Forks, ND--MN
  2995  Grand Junction, CO
  3000  Grand Rapids--Muskegon--Holland, MI
  3040  Great Falls, MT
  3060  Greeley, CO
  3080  Green Bay, WI
  3120  Greensboro--Winston-Salem--High Point, NC
  3150  Greenville, NC
  3160  Greenville--Spartanburg--Anderson, SC
  3180  Hagerstown, MD
  3200  Hamilton--Middletown, OH
  3240  Harrisburg--Lebanon--Carlisle, PA
  3280  Hartford, CT
  3285  Hattiesburg, MS
  3290  Hickory--Morganton--Lenoir, NC
  3320  Honolulu, HI
  3350  Houma, LA
  3360  Houston, TX
  3400  Huntington--Ashland, WV--KY--OH
  3440  Huntsville, AL
  3480  Indianapolis, IN
  3500  Iowa City, IA
  3520  Jackson, MI
  3560  Jackson, MS
  3580  Jackson, TN
  3600  Jacksonville, FL
  3605  Jacksonville, NC
  3610  Jamestown, NY
  3620  Janesville--Beloit, WI
  3640  Jersey City, NJ
  3660  Johnson City--Kingsport--Bristol, TN--VA
  3680  Johnstown, PA
  3700  Jonesboro, AR
  3710  Joplin, MO
  3720  Kalamazoo--Battle Creek, MI
  3740  Kankakee, IL
  3760  Kansas City, MO--KS
  3800  Kenosha, WI
  3810  Killeen--Temple, TX
  3840  Knoxville, TN
  3850  Kokomo, IN
  3870  La Crosse, WI--MN
  3880  Lafayette, LA
  3920  Lafayette, IN
  3960  Lake Charles, LA
  3980  Lakeland--Winter Haven, FL
  4000  Lancaster, PA
  4040  Lansing--East Lansing, MI
  4080  Laredo, TX
  4100  Las Cruces, NM
  4120  Las Vegas, NV--AZ
  4150  Lawrence, KS
  4160  Lawrence, MA--NH
  4200  Lawton, OK
  4240  Lewiston--Auburn, ME
  4280  Lexington, KY
  4320  Lima, OH
  4360  Lincoln, NE
  4400  Little Rock--North Little Rock, AR
