2012-2016 Statistics of U.S. Businesses comma-delimited files

MSA
CODE	MSA DESCRIPTION  (#917)
10100	Aberdeen, SD Micropolitan Statistical Area
10140	Aberdeen, WA Micropolitan Statistical Area
10180	Abilene, TX Metropolitan Statistical Area
10220	Ada, OK Micropolitan Statistical Area
10300	Adrian, MI Micropolitan Statistical Area
10420	Akron, OH Metropolitan Statistical Area
10460	Alamogordo, NM Micropolitan Statistical Area
10500	Albany, GA Metropolitan Statistical Area
10540	Albany, OR Metropolitan Statistical Area
10580	Albany-Schenectady-Troy, NY Metropolitan Statistical Area
10620	Albemarle, NC Micropolitan Statistical Area
10660	Albert Lea, MN Micropolitan Statistical Area
10700	Albertville, AL Micropolitan Statistical Area
10740	Albuquerque, NM Metropolitan Statistical Area
10780	Alexandria, LA Metropolitan Statistical Area
10820	Alexandria, MN Micropolitan Statistical Area
10860	Alice, TX Micropolitan Statistical Area
10900	Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area
10940	Alma, MI Micropolitan Statistical Area
10980	Alpena, MI Micropolitan Statistical Area
11020	Altoona, PA Metropolitan Statistical Area
11060	Altus, OK Micropolitan Statistical Area
11100	Amarillo, TX Metropolitan Statistical Area
11140	Americus, GA Micropolitan Statistical Area
11180	Ames, IA Metropolitan Statistical Area
11220	Amsterdam, NY Micropolitan Statistical Area
11260	Anchorage, AK Metropolitan Statistical Area
11380	Andrews, TX Micropolitan Statistical Area
11420	Angola, IN Micropolitan Statistical Area
11460	Ann Arbor, MI Metropolitan Statistical Area
11500	Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area
11540	Appleton, WI Metropolitan Statistical Area
11580	Arcadia, FL Micropolitan Statistical Area
11620	Ardmore, OK Micropolitan Statistical Area
11660	Arkadelphia, AR Micropolitan Statistical Area
11680	Arkansas City-Winfield, KS Micropolitan Statistical Area
11700	Asheville, NC Metropolitan Statistical Area
11740	Ashland, OH Micropolitan Statistical Area
11780	Ashtabula, OH Micropolitan Statistical Area
11820	Astoria, OR Micropolitan Statistical Area
11860	Atchison, KS Micropolitan Statistical Area
11900	Athens, OH Micropolitan Statistical Area
11940	Athens, TN Micropolitan Statistical Area
11980	Athens, TX Micropolitan Statistical Area
12020	Athens-Clarke County, GA Metropolitan Statistical Area
12060	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
12100	Atlantic City-Hammonton, NJ Metropolitan Statistical Area
12140	Auburn, IN Micropolitan Statistical Area
12180	Auburn, NY Micropolitan Statistical Area
12220	Auburn-Opelika, AL Metropolitan Statistical Area
12260	Augusta-Richmond County, GA-SC Metropolitan Statistical Area
12300	Augusta-Waterville, ME Micropolitan Statistical Area
12380	Austin, MN Micropolitan Statistical Area
12420	Austin-Round Rock, TX Metropolitan Statistical Area
12460	Bainbridge, GA Micropolitan Statistical Area
12540	Bakersfield, CA Metropolitan Statistical Area
12580	Baltimore-Columbia-Towson, MD Metropolitan Statistical Area
12620	Bangor, ME Metropolitan Statistical Area
12660	Baraboo, WI Micropolitan Statistical Area
12680	Bardstown, KY Micropolitan Statistical Area
12700	Barnstable Town, MA Metropolitan Statistical Area
12740	Barre, VT Micropolitan Statistical Area
12780	Bartlesville, OK Micropolitan Statistical Area
12820	Bastrop, LA Micropolitan Statistical Area
12860	Batavia, NY Micropolitan Statistical Area
12900	Batesville, AR Micropolitan Statistical Area
12940	Baton Rouge, LA Metropolitan Statistical Area
12980	Battle Creek, MI Metropolitan Statistical Area
13020	Bay City, MI Metropolitan Statistical Area
13060	Bay City, TX Micropolitan Statistical Area
13100	Beatrice, NE Micropolitan Statistical Area
13140	Beaumont-Port Arthur, TX Metropolitan Statistical Area
13180	Beaver Dam, WI Micropolitan Statistical Area
13220	Beckley, WV Metropolitan Statistical Area
13260	Bedford, IN Micropolitan Statistical Area
13300	Beeville, TX Micropolitan Statistical Area
13340	Bellefontaine, OH Micropolitan Statistical Area
13380	Bellingham, WA Metropolitan Statistical Area
13420	Bemidji, MN Micropolitan Statistical Area
13460	Bend-Redmond, OR Metropolitan Statistical Area
13500	Bennettsville, SC Micropolitan Statistical Area
13540	Bennington, VT Micropolitan Statistical Area
13620	Berlin, NH-VT Micropolitan Statistical Area
13660	Big Rapids, MI Micropolitan Statistical Area
13700	Big Spring, TX Micropolitan Statistical Area
13720	Big Stone Gap, VA Micropolitan Statistical Area
13740	Billings, MT Metropolitan Statistical Area
13780	Binghamton, NY Metropolitan Statistical Area
13820	Birmingham-Hoover, AL Metropolitan Statistical Area
13900	Bismarck, ND Metropolitan Statistical Area
13940	Blackfoot, ID Micropolitan Statistical Area
13980	Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area
14010	Bloomington, IL Metropolitan Statistical Area
14020	Bloomington, IN Metropolitan Statistical Area
14100	Bloomsburg-Berwick, PA Metropolitan Statistical Area
14140	Bluefield, WV-VA Micropolitan Statistical Area
14180	Blytheville, AR Micropolitan Statistical Area
14220	Bogalusa, LA Micropolitan Statistical Area
14260	Boise City, ID Metropolitan Statistical Area
14340	Boone, IA Micropolitan Statistical Area
14380	Boone, NC Micropolitan Statistical Area
14420	Borger, TX Micropolitan Statistical Area
14460	Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area
14500	Boulder, CO Metropolitan Statistical Area
14540	Bowling Green, KY Metropolitan Statistical Area
14580	Bozeman, MT Micropolitan Statistical Area
14620	Bradford, PA Micropolitan Statistical Area
14660	Brainerd, MN Micropolitan Statistical Area
14700	Branson, MO Micropolitan Statistical Area
14720	Breckenridge, CO Micropolitan Statistical Area
14740	Bremerton-Silverdale, WA Metropolitan Statistical Area
14780	Brenham, TX Micropolitan Statistical Area
14820	Brevard, NC Micropolitan Statistical Area
14860	Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area
15020	Brookhaven, MS Micropolitan Statistical Area
15060	Brookings, OR Micropolitan Statistical Area
15100	Brookings, SD Micropolitan Statistical Area
15180	Brownsville-Harlingen, TX Metropolitan Statistical Area
15220	Brownwood, TX Micropolitan Statistical Area
15260	Brunswick, GA Metropolitan Statistical Area
15340	Bucyrus, OH Micropolitan Statistical Area
15380	Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area
15420	Burley, ID Micropolitan Statistical Area
15460	Burlington, IA-IL Micropolitan Statistical Area
15500	Burlington, NC Metropolitan Statistical Area
15540	Burlington-South Burlington, VT Metropolitan Statistical Area
15580	Butte-Silver Bow, MT Micropolitan Statistical Area
15620	Cadillac, MI Micropolitan Statistical Area
15660	Calhoun, GA Micropolitan Statistical Area
15680	California-Lexington Park, MD Metropolitan Statistical Area
15700	Cambridge, MD Micropolitan Statistical Area
15740	Cambridge, OH Micropolitan Statistical Area
15780	Camden, AR Micropolitan Statistical Area
15820	Campbellsville, KY Micropolitan Statistical Area
15860	Ca?on City, CO Micropolitan Statistical Area
15900	Canton, IL Micropolitan Statistical Area
15940	Canton-Massillon, OH Metropolitan Statistical Area
15980	Cape Coral-Fort Myers, FL Metropolitan Statistical Area
16020	Cape Girardeau, MO-IL Metropolitan Statistical Area
16060	Carbondale-Marion, IL Metropolitan Statistical Area
16100	Carlsbad-Artesia, NM Micropolitan Statistical Area
16180	Carson City, NV Metropolitan Statistical Area
16220	Casper, WY Metropolitan Statistical Area
16260	Cedar City, UT Micropolitan Statistical Area
16300	Cedar Rapids, IA Metropolitan Statistical Area
16340	Cedartown, GA Micropolitan Statistical Area
16380	Celina, OH Micropolitan Statistical Area
16460	Centralia, IL Micropolitan Statistical Area
16500	Centralia, WA Micropolitan Statistical Area
16540	Chambersburg-Waynesboro, PA Metropolitan Statistical Area
16580	Champaign-Urbana, IL Metropolitan Statistical Area
16620	Charleston, WV Metropolitan Statistical Area
16660	Charleston-Mattoon, IL Micropolitan Statistical Area
16700	Charleston-North Charleston, SC Metropolitan Statistical Area
16740	Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area
16820	Charlottesville, VA Metropolitan Statistical Area
16860	Chattanooga, TN-GA Metropolitan Statistical Area
16940	Cheyenne, WY Metropolitan Statistical Area
16980	Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area
17020	Chico, CA Metropolitan Statistical Area
17060	Chillicothe, OH Micropolitan Statistical Area
17140	Cincinnati, OH-KY-IN Metropolitan Statistical Area
17200	Claremont-Lebanon, NH-VT Micropolitan Statistical Area
17220	Clarksburg, WV Micropolitan Statistical Area
17260	Clarksdale, MS Micropolitan Statistical Area
17300	Clarksville, TN-KY Metropolitan Statistical Area
17340	Clearlake, CA Micropolitan Statistical Area
17380	Cleveland, MS Micropolitan Statistical Area
17420	Cleveland, TN Metropolitan Statistical Area
17460	Cleveland-Elyria, OH Metropolitan Statistical Area
17500	Clewiston, FL Micropolitan Statistical Area
17540	Clinton, IA Micropolitan Statistical Area
17580	Clovis, NM Micropolitan Statistical Area
17660	Coeur d'Alene, ID Metropolitan Statistical Area
17700	Coffeyville, KS Micropolitan Statistical Area
17740	Coldwater, MI Micropolitan Statistical Area
17780	College Station-Bryan, TX Metropolitan Statistical Area
17820	Colorado Springs, CO Metropolitan Statistical Area
17860	Columbia, MO Metropolitan Statistical Area
17900	Columbia, SC Metropolitan Statistical Area
17980	Columbus, GA-AL Metropolitan Statistical Area
18020	Columbus, IN Metropolitan Statistical Area
18060	Columbus, MS Micropolitan Statistical Area
18100	Columbus, NE Micropolitan Statistical Area
18140	Columbus, OH Metropolitan Statistical Area
18180	Concord, NH Micropolitan Statistical Area
18220	Connersville, IN Micropolitan Statistical Area
18260	Cookeville, TN Micropolitan Statistical Area
18300	Coos Bay, OR Micropolitan Statistical Area
18380	Cordele, GA Micropolitan Statistical Area
18420	Corinth, MS Micropolitan Statistical Area
18460	Cornelia, GA Micropolitan Statistical Area
18500	Corning, NY Micropolitan Statistical Area
18580	Corpus Christi, TX Metropolitan Statistical Area
18620	Corsicana, TX Micropolitan Statistical Area
18660	Cortland, NY Micropolitan Statistical Area
18700	Corvallis, OR Metropolitan Statistical Area
