,Table 1. Current-Dollar Gross Domestic Product (GDP) by Metropolitan Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,Millions of dollars,,,,,,2014 Rank*
1,,2009,2010.0,2011.0,2012.0,2013.0,2014*,
2,U.S. metropolitan areas,12985249,13459787.0,13932364.0,14530716.0,15074218.0,15678767,.......
3,"Abilene, TX",5304,5486.0,5803.0,6327.0,6813.0,6957,243
4,"Akron, OH",27882,28660.0,29544.0,30601.0,31317.0,32509,79
5,"Albany, GA",5007,4960.0,4999.0,5106.0,5182.0,5201,299
6,"Albany, OR",3090,3078.0,3163.0,3309.0,3412.0,3593,359
7,"Albany-Schenectady-Troy, NY",42547,43182.0,43968.0,45788.0,47432.0,49521,58
8,"Albuquerque, NM",38094,38964.0,39765.0,40868.0,41393.0,42046,64
9,"Alexandria, LA",5373,5518.0,5210.0,5298.0,5300.0,5290,295
10,"Allentown-Bethlehem-Easton, PA-NJ",30041,31295.0,31973.0,32867.0,33803.0,35417,75
11,"Altoona, PA",4390,4465.0,4521.0,4578.0,4706.0,4830,310
12,"Amarillo, TX",9821,10203.0,10532.0,11147.0,11750.0,12227,173
13,"Ames, IA",4257,4598.0,4519.0,4429.0,4567.0,4735,319
14,"Anchorage, AK",26620,28328.0,29955.0,30656.0,30756.0,30714,82
15,"Ann Arbor, MI",18382,19131.0,19065.0,19153.0,20100.0,20401,117
16,"Anniston-Oxford-Jacksonville, AL",3743,3861.0,3863.0,3799.0,3761.0,3777,349
17,"Appleton, WI",10064,10135.0,10490.0,10919.0,11308.0,11780,176
18,"Asheville, NC",14382,14432.0,14504.0,15113.0,15726.0,16405,138
19,"Athens-Clarke County, GA",6686,6771.0,6899.0,7171.0,7358.0,7648,226
20,"Atlanta-Sandy Springs-Roswell, GA",273465,277639.0,286108.0,296059.0,309059.0,324881,10
21,"Atlantic City-Hammonton, NJ",13041,13139.0,13090.0,13407.0,13504.0,13500,161
22,"Auburn-Opelika, AL",3725,3909.0,4159.0,4285.0,4590.0,4866,308
23,"Augusta-Richmond County, GA-SC",18885,19649.0,20173.0,20597.0,20832.0,21327,111
24,"Austin-Round Rock, TX",81540,87368.0,92763.0,100273.0,106981.0,115262,32
25,"Bakersfield, CA",30988,33770.0,35933.0,38350.0,39586.0,39989,65
26,"Baltimore-Columbia-Towson, MD",146909,152899.0,157416.0,162670.0,167871.0,173516,19
27,"Bangor, ME",5379,5396.0,5431.0,5584.0,5711.0,5764,273
28,"Barnstable Town, MA",8841,9069.0,9446.0,9985.0,10297.0,10551,190
29,"Baton Rouge, LA",40549,44869.0,46964.0,50232.0,49561.0,51149,57
30,"Battle Creek, MI",4870,5237.0,5085.0,5316.0,5573.0,5710,276
31,"Bay City, MI",2928,2985.0,2987.0,3059.0,3165.0,3136,367
32,"Beaumont-Port Arthur, TX",18267,20641.0,21858.0,22193.0,23114.0,23795,103
33,"Beckley, WV",3851,4307.0,4669.0,4484.0,4597.0,4756,317
34,"Bellingham, WA",8521,9359.0,9194.0,9532.0,9799.0,9994,197
35,"Bend-Redmond, OR",5999,5888.0,5760.0,6060.0,6518.0,7060,239
36,"Billings, MT",6666,7361.0,8493.0,8990.0,9123.0,9455,203
37,"Binghamton, NY",8600,8721.0,8787.0,8926.0,8995.0,9120,206
38,"Birmingham-Hoover, AL",51219,53008.0,56111.0,58643.0,60411.0,62187,50
39,"Bismarck, ND",4845,5176.0,5588.0,6360.0,6691.0,7283,235
40,"Blacksburg-Christiansburg-Radford, VA",5425,5508.0,5767.0,6366.0,6451.0,6636,248
41,"Bloomington, IL",9549,9835.0,10105.0,10587.0,11356.0,11126,184
42,"Bloomington, IN",6142,6211.0,6210.0,6151.0,6244.0,6312,257
43,"Bloomsburg-Berwick, PA",3209,3371.0,3491.0,3564.0,3719.0,3701,356
44,"Boise City, ID",24672,25346.0,25566.0,26511.0,28051.0,29331,85
45,"Boston-Cambridge-Newton, MA-NH",313322,329192.0,341225.0,355276.0,366089.0,382459,9
46,"Boulder, CO",18048,18671.0,19280.0,20064.0,21052.0,22354,108
47,"Bowling Green, KY",4990,5285.0,5405.0,5741.0,5970.0,6173,263
48,"Bremerton-Silverdale, WA",8996,9050.0,9177.0,9286.0,9365.0,9627,201
49,"Bridgeport-Stamford-Norwalk, CT",78576,83487.0,86361.0,91788.0,94586.0,97225,37
50,"Brownsville-Harlingen, TX",7795,8059.0,8221.0,8667.0,9020.0,9285,204
51,"Brunswick, GA",3435,3312.0,3326.0,3392.0,3445.0,3455,363
52,"Buffalo-Cheektowaga-Niagara Falls, NY",47185,48404.0,49852.0,51881.0,53230.0,54942,54
53,"Burlington, NC",4316,4465.0,4613.0,4967.0,5088.0,5158,300
54,"Burlington-South Burlington, VT",10483,11194.0,11827.0,12349.0,12418.0,12704,170
55,"California-Lexington Park, MD",5072,5466.0,5758.0,5765.0,5846.0,5892,269
56,"Canton-Massillon, OH",12817,13308.0,14197.0,14959.0,16354.0,17126,133
57,"Cape Coral-Fort Myers, FL",19868,19709.0,19576.0,20802.0,21992.0,23347,106
58,"Cape Girardeau, MO-IL",3557,3553.0,3531.0,3588.0,3734.0,3774,351
59,"Carbondale-Marion, IL",4255,4376.0,4550.0,4694.0,4851.0,4760,316
60,"Carson City, NV",2739,2806.0,2789.0,2811.0,2901.0,2918,373
61,"Casper, WY",5783,6221.0,6900.0,6626.0,6871.0,7340,233
62,"Cedar Rapids, IA",15186,15671.0,16127.0,16508.0,17181.0,17738,128
63,"Chambersburg-Waynesboro, PA",4171,4235.0,4326.0,4382.0,4560.0,4746,318
