city,state_de,pop_density
new_york,new_york,27 012.5
san_francisco,california,17 179.1
new_jersey,new_jersey,16 736.3
boston,massachusetts,12 792.7
santa_ana,california,11 900.6
chicago,illinois,11 841.8
newark,new_jersey,11 458.2
philadelphia,pennsylvania,11 379.5
miami,florida,11 135.9
hialeah,florida,10 474.1
washington,dc,9 856.6
long,california,9 191.3
los_angeles,california,8 092.3
baltimore,maryland,7 671.5
seattle,washington,7 250.9
minneapolis,minnesota,7 088.3
oakland,california,7 004
anaheim,california,6 747.6
buffalo,new_york,6 470.6
milwaukee,wisconsin,6 188.3
honolulu,hawaii,5 572.5
pittsburgh,pennsylvania,5 521.4
paul,minnesota,5 484.3
jose,california,5 358.7
louis,missouri,5 157.5
detroit,michigan,5 144.3
cleveland,ohio,5 107.2
chula_vista,california,4 914.6
sacramento,california,4 764.2
stockton,california,4 730.1
norfolk,virginia,4 486.4
fresno,california,4 418.3
portland,oregon,4 375.2
las_vegas,nevada,4 298.2
san_diego,california,4 020.4
garland,texas,3 974.4
petersburg,florida,3 964.4
denver,colorado,3 922.6
arlington,texas,3 811.3
cincinnati,ohio,3 809.8
glendale,arizona,3 780.2
riverside,california,3 745
chandler,arizona,3 665.8
plano,texas,3 630
columbus,ohio,3 624.1
toledo,ohio,3 559.3
bernardino,california,3 546
dallas,texas,3 517.6
houston,texas,3 501.5
irving,texas,3 227.4
omaha,nebraska,3 217.9
mesa,arizona,3 217.5
irvine,california,3 212.6
atlanta,georgia,3 154.3
gilbert,arizona,3 067.2
madison,wisconsin,3 037
baton_rouge,louisiana,2 982.5
tampa,florida,2 960.2
albuquerque,mexico,2 907.6
lincoln,nebraska,2 899.4
antonio,texas,2 879.8
raleigh,north_carolina,2 826.3
phoenix,arizona,2 797.8
fremont,california,2 763.9
laredo,texas,2 655.5
austin,texas,2 653.2
boise,idaho,2 591.5
paso,texas,2 543.2
charlotte,north_carolina,2 457.1
bakersfield,california,2 444.2
wichita,kansas,2 400.4
henderson,nevada,2 392.3
orlando,florida,2 327.3
tucson,arizona,2 294.2
wayne,indiana,2 293.4
indianapolis,indiana,2 270
reno,nevada,2 186.4
fort_worth,texas,2 181.2
las_vegas,nevada,2 140.8
colorado,colorado,2 140.6
greensboro,north_carolina,2 131.5
durham,north_carolina,2 126.6
aurora,colorado,2 100.9
memphis,tennessee,2 053.3
new_orleans,louisiana,2 029.4
tulsa,oklahoma,1 991.9
corpus,texas,1 900.3
lubbock,texas,1 875.4
louisville/jefferson,kentucky,1 836.6
virginia,virginia,1 758.9
winston-salem,north_carolina,1 733.6
kansas,missouri,1 459.9
birmingham,alabama,1 453
nashville-davidson,tennessee,1 265.4
scottsdale,arizona,1 182
jacksonville,florida,1 100.1
lexington-fayette,kentucky,1 042.8
oklahoma,oklahoma,956.4
chesapeake,virginia,652
anchorage,alaska,171.2
