Date,Number of All Venture Capital Deals,Number of Deals with CVC Involvement,Percentage of Deals with CVC Involvement,Avg Amt of All VC Deals ($M),Avg Amt of CVC Participation ($M),Total VC Investment ($M),Total CVC Investment ($M),Percentage of Dollars Coming from CVCs
1995-12-31,1897.0,143.0,7.53821823933,4.22589530838,3.02942097902,8016.5234,433.2072,5.40392859079
1996-12-31,2635.0,217.0,8.23529411765,4.28289297913,3.0987797235,11285.423,672.4352,5.95844037038
1997-12-31,3232.0,335.0,10.3650990099,4.66322852723,2.81385462687,15071.5546,942.6413,6.25443973776
1998-12-31,3744.0,502.0,13.4081196581,5.75895603632,3.47149282869,21561.5314,1742.6894,8.08240086323
1999-12-31,5605.0,1173.0,20.9277430865,9.79635992864,6.32442216539,54908.5974,7418.5472,13.5107206363
2000-12-31,8041.0,1948.0,24.2258425569,13.0578097003,7.6351073922,104997.8478,14873.1892,14.165232442
2001-12-31,4596.0,953.0,20.7354221062,8.90744151436,4.74849433368,40938.6012,4525.3151,11.0539074794
2002-12-31,3217.0,547.0,17.0034193348,6.90163279453,3.54902705667,22202.5527,1941.3178,8.74366937095
2003-12-31,3037.0,434.0,14.2904181758,6.4807904511,2.97403548387,19682.1606,1290.7314,6.55787454554
2004-12-31,3236.0,545.0,16.8417799753,7.06186372064,2.79779761468,22852.191,1524.7997,6.67244423084
2005-12-31,3302.0,544.0,16.474863719,7.03978428225,2.62985073529,23245.3677,1430.6388,6.1545113782
2006-12-31,3897.0,814.0,20.8878624583,7.15073643829,3.28637862408,27866.4199,2675.1122,9.59976993672
2007-12-31,4234.0,828.0,19.5559754369,7.58292978271,3.21492270531,32106.1247,2661.956,8.29111586924
2008-12-31,4207.0,897.0,21.3216068457,7.23451350131,3.04283244147,30435.5983,2729.4207,8.96785623564
2009-12-31,3171.0,411.0,12.9612109745,6.41308962472,3.34516982968,20335.9072,1374.8648,6.76077436073
2010-12-31,3675.0,472.0,12.843537415,6.40133795918,3.91761165254,23524.917,1849.1127,7.86023049518
2011-12-31,4049.0,595.0,14.6949864164,7.3854078044,3.97826941176,29903.5162,2367.0703,7.91569220211
2012-12-31,3991.0,619.0,15.5098972689,6.9313314207,3.71171147011,27662.9437,2297.5494,8.30551305355
2013-12-31,4293.0,718.0,16.7249010016,7.05472469136,4.40384735376,30285.9331,3161.9624,10.4403664551
2014-12-31,4441.0,801.0,18.0364782707,11.4468933799,6.89542534332,50835.6535,5523.2357,10.864885803
2015-12-31,4380.0,905.0,20.6621004566,13.4272119406,8.37641469613,58811.1883,7580.6553,12.8898182797
