Date,Biotechnology,Business Products and Services,Computers and Peripherals,Consumer Products and Services,Electronics/Instrumentation,Financial Services,Healthcare Services,Industrial/Energy,IT Services,Media and Entertainment,Medical Devices and Equipment,Networking and Equipment,Other,Retailing/Distribution,Semiconductors,Software,Telecommunications,Total
1985-12-31,72.0,29.0,12.0,26.0,28.0,57.0,39.0,26.0,1.0,13.0,14.0,9.0,12.0,27.0,24.0,27.0,17.0,433.0
1986-12-31,75.0,34.0,8.0,30.0,32.0,59.0,53.0,25.0,1.0,24.0,20.0,32.0,26.0,18.0,13.0,34.0,22.0,506.0
1987-12-31,83.0,46.0,6.0,33.0,57.0,73.0,61.0,25.0,,39.0,24.0,19.0,22.0,24.0,16.0,33.0,19.0,580.0
1988-12-31,87.0,33.0,9.0,18.0,47.0,71.0,57.0,21.0,1.0,26.0,22.0,11.0,13.0,18.0,21.0,35.0,23.0,513.0
1989-12-31,68.0,33.0,11.0,23.0,36.0,73.0,62.0,24.0,,13.0,12.0,9.0,9.0,15.0,13.0,28.0,21.0,450.0
1990-12-31,83.0,23.0,7.0,26.0,26.0,51.0,37.0,10.0,2.0,9.0,7.0,7.0,8.0,8.0,14.0,17.0,16.0,351.0
1991-12-31,61.0,11.0,5.0,18.0,21.0,29.0,28.0,13.0,2.0,6.0,10.0,12.0,9.0,10.0,7.0,11.0,14.0,267.0
1992-12-31,66.0,27.0,5.0,21.0,53.0,33.0,44.0,18.0,2.0,12.0,13.0,17.0,10.0,10.0,11.0,27.0,23.0,392.0
1993-12-31,51.0,27.0,8.0,19.0,46.0,35.0,41.0,27.0,1.0,13.0,17.0,13.0,17.0,6.0,6.0,15.0,14.0,356.0
1994-12-31,98.0,31.0,20.0,28.0,42.0,40.0,36.0,23.0,1.0,9.0,12.0,20.0,11.0,11.0,11.0,20.0,17.0,430.0
1995-12-31,54.0,33.0,42.0,56.0,20.0,32.0,42.0,81.0,28.0,70.0,55.0,32.0,6.0,34.0,25.0,222.0,69.0,901.0
1996-12-31,68.0,40.0,34.0,52.0,19.0,38.0,59.0,78.0,67.0,77.0,86.0,48.0,1.0,35.0,30.0,326.0,88.0,1146.0
1997-12-31,86.0,50.0,43.0,70.0,19.0,42.0,53.0,96.0,62.0,108.0,110.0,52.0,5.0,33.0,54.0,331.0,94.0,1308.0
1998-12-31,108.0,73.0,30.0,70.0,17.0,64.0,37.0,86.0,91.0,114.0,95.0,82.0,7.0,45.0,46.0,337.0,139.0,1441.0
1999-12-31,81.0,145.0,35.0,138.0,15.0,99.0,52.0,100.0,234.0,380.0,87.0,103.0,10.0,116.0,51.0,593.0,227.0,2466.0
2000-12-31,124.0,223.0,50.0,100.0,27.0,170.0,57.0,124.0,323.0,393.0,70.0,208.0,9.0,120.0,116.0,886.0,392.0,3392.0
2001-12-31,111.0,53.0,27.0,30.0,27.0,40.0,20.0,80.0,73.0,74.0,62.0,90.0,8.0,19.0,75.0,320.0,126.0,1235.0
2002-12-31,115.0,26.0,12.0,24.0,18.0,28.0,20.0,60.0,27.0,43.0,60.0,37.0,2.0,9.0,54.0,269.0,43.0,847.0
2003-12-31,92.0,28.0,19.0,20.0,19.0,19.0,17.0,54.0,31.0,38.0,78.0,20.0,1.0,6.0,64.0,235.0,38.0,779.0
2004-12-31,109.0,34.0,19.0,30.0,22.0,36.0,15.0,72.0,52.0,58.0,80.0,39.0,6.0,20.0,79.0,247.0,56.0,974.0
2005-12-31,120.0,33.0,18.0,43.0,32.0,31.0,22.0,74.0,65.0,99.0,83.0,25.0,3.0,22.0,43.0,287.0,69.0,1069.0
2006-12-31,150.0,38.0,11.0,41.0,23.0,30.0,18.0,112.0,92.0,159.0,126.0,19.0,1.0,12.0,49.0,299.0,94.0,1274.0
2007-12-31,151.0,55.0,26.0,58.0,27.0,49.0,17.0,149.0,100.0,180.0,120.0,23.0,10.0,12.0,41.0,325.0,76.0,1419.0
2008-12-31,145.0,49.0,17.0,51.0,34.0,30.0,12.0,158.0,116.0,164.0,108.0,11.0,3.0,15.0,35.0,325.0,42.0,1315.0
2009-12-31,92.0,25.0,13.0,31.0,17.0,19.0,13.0,80.0,86.0,88.0,84.0,9.0,5.0,9.0,16.0,225.0,23.0,835.0
2010-12-31,120.0,28.0,12.0,36.0,16.0,36.0,22.0,88.0,95.0,144.0,69.0,9.0,10.0,17.0,16.0,349.0,31.0,1098.0
2011-12-31,112.0,24.0,15.0,64.0,8.0,24.0,12.0,95.0,134.0,202.0,72.0,13.0,5.0,22.0,18.0,496.0,43.0,1359.0
2012-12-31,87.0,14.0,6.0,91.0,15.0,15.0,11.0,77.0,103.0,192.0,70.0,7.0,11.0,25.0,16.0,563.0,32.0,1335.0
2013-12-31,106.0,32.0,11.0,76.0,13.0,20.0,17.0,66.0,133.0,190.0,67.0,4.0,8.0,20.0,14.0,643.0,18.0,1438.0
2014-12-31,100.0,30.0,25.0,81.0,15.0,20.0,24.0,68.0,97.0,183.0,58.0,4.0,7.0,22.0,21.0,673.0,12.0,1440.0
2015-12-31,119.0,31.0,20.0,93.0,13.0,34.0,29.0,74.0,103.0,176.0,63.0,5.0,25.0,27.0,16.0,588.0,18.0,1434.0
