Date,Seed,Early Stage,Expansion,Later Stage,Total
1985-12-31,306.3,112.0,266.8,39.1,724.1
1986-12-31,437.6,185.1,211.7,63.6,898.0
1987-12-31,353.4,319.2,274.1,62.4,1009.1
1988-12-31,378.1,291.8,324.3,106.9,1101.1
1989-12-31,257.4,215.3,320.0,113.4,906.1
1990-12-31,178.2,292.2,278.9,86.7,835.9
1991-12-31,102.7,214.6,157.6,77.1,552.0
1992-12-31,213.4,255.4,572.5,243.1,1284.4
1993-12-31,356.5,261.1,488.1,168.0,1273.7
1994-12-31,528.1,390.8,493.1,240.5,1652.6
1995-12-31,742.5616,898.1116,1634.9266,696.1391,3971.7389
1996-12-31,636.1825,1372.4218,1662.8782,460.9409,4132.4234
1997-12-31,799.3153,1725.2647,1866.5167,481.9279,4873.0246
1998-12-31,1003.6632,2730.0835,2830.7473,650.3291,7214.8231
1999-12-31,2790.3982,6368.4254,5831.2228,1337.9861,16328.0325
2000-12-31,2527.2069,16403.8605,8655.1264,926.7509,28512.9447
2001-12-31,645.7435,4419.1381,1885.1468,366.377,7316.4054
2002-12-31,266.8325,2343.0492,1325.1204,384.3868,4319.3889
2003-12-31,303.3725,2123.7271,947.3547,314.4889,3688.9432
2004-12-31,382.9073,2600.2794,1292.8281,744.4487,5020.4635
2005-12-31,556.9052,2607.131,1556.3866,887.5606,5607.9834
2006-12-31,1146.7022,2506.4067,1818.8224,817.4454,6289.3767
2007-12-31,1405.8245,2915.696,2528.6766,922.9002,7773.0973
2008-12-31,1409.5924,2373.4476,1747.1117,1055.067,6585.2187
2009-12-31,831.5186,1351.1957,775.7702,503.417,3461.9015
2010-12-31,880.9818,1786.0185,912.5601,792.775,4372.3354
2011-12-31,868.1326,2644.6278,1023.4771,961.1772,5497.4147
2012-12-31,581.0632,2253.6409,991.8283,695.2861,4521.8185
2013-12-31,820.767,2924.0451,670.7768,670.6299,5086.2188
2014-12-31,636.0216,3966.3904,2040.4921,909.0697,7551.9738
2015-12-31,605.1148,5416.3071,1796.3479,1078.1797,8895.9495
