Date,Biotechnology,Business Products and Services,Computers and Peripherals,Consumer Products and Services,Electronics/Instrumentation,Financial Services,Healthcare Services,Industrial/Energy,IT Services,Media and Entertainment,Medical Devices and Equipment,Networking and Equipment,Other,Retailing/Distribution,Semiconductors,Software,Telecommunications,Total
1985-12-31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0
1986-12-31,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,13.0
1987-12-31,0.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,18.0
1988-12-31,0.0,3.0,1.0,3.0,3.0,2.0,1.0,9.0,3.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,34.0
1989-12-31,3.0,0.0,4.0,3.0,2.0,0.0,2.0,5.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,30.0
1990-12-31,1.0,2.0,4.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,6.0,1.0,29.0
1991-12-31,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,29.0
1992-12-31,4.0,2.0,9.0,6.0,4.0,5.0,5.0,17.0,1.0,1.0,15.0,2.0,0.0,3.0,1.0,13.0,4.0,92.0
1993-12-31,3.0,3.0,9.0,10.0,2.0,8.0,1.0,20.0,0.0,6.0,5.0,7.0,0.0,5.0,1.0,17.0,4.0,101.0
1994-12-31,7.0,1.0,5.0,4.0,1.0,6.0,9.0,14.0,0.0,8.0,9.0,8.0,0.0,2.0,3.0,26.0,8.0,111.0
1995-12-31,13.0,3.0,6.0,5.0,1.0,9.0,10.0,25.0,3.0,5.0,11.0,10.0,1.0,3.0,4.0,30.0,4.0,143.0
1996-12-31,11.0,6.0,10.0,14.0,9.0,11.0,8.0,20.0,6.0,12.0,9.0,13.0,0.0,2.0,2.0,21.0,8.0,162.0
1997-12-31,10.0,7.0,9.0,15.0,8.0,12.0,5.0,35.0,12.0,17.0,17.0,4.0,0.0,9.0,2.0,46.0,14.0,222.0
1998-12-31,15.0,9.0,7.0,18.0,5.0,11.0,12.0,39.0,13.0,19.0,17.0,11.0,1.0,9.0,10.0,65.0,14.0,275.0
1999-12-31,14.0,7.0,13.0,15.0,5.0,17.0,5.0,33.0,22.0,28.0,13.0,24.0,0.0,13.0,11.0,67.0,21.0,308.0
2000-12-31,18.0,22.0,15.0,23.0,4.0,16.0,11.0,37.0,26.0,54.0,13.0,25.0,0.0,19.0,26.0,127.0,38.0,474.0
2001-12-31,22.0,34.0,8.0,25.0,11.0,26.0,8.0,36.0,32.0,59.0,20.0,17.0,1.0,18.0,15.0,98.0,35.0,465.0
2002-12-31,11.0,21.0,3.0,22.0,9.0,19.0,15.0,34.0,41.0,31.0,14.0,20.0,1.0,9.0,16.0,132.0,44.0,442.0
2003-12-31,17.0,18.0,9.0,26.0,4.0,13.0,4.0,47.0,27.0,27.0,14.0,25.0,3.0,15.0,12.0,127.0,43.0,431.0
2004-12-31,28.0,29.0,9.0,39.0,10.0,19.0,13.0,67.0,36.0,43.0,27.0,31.0,4.0,14.0,19.0,143.0,29.0,560.0
2005-12-31,34.0,33.0,13.0,34.0,7.0,19.0,25.0,127.0,27.0,42.0,36.0,28.0,10.0,20.0,19.0,171.0,38.0,683.0
2006-12-31,33.0,44.0,11.0,54.0,9.0,21.0,30.0,111.0,42.0,55.0,33.0,32.0,4.0,24.0,21.0,200.0,51.0,775.0
2007-12-31,36.0,67.0,5.0,62.0,18.0,21.0,30.0,151.0,46.0,86.0,40.0,20.0,8.0,28.0,23.0,187.0,53.0,881.0
2008-12-31,29.0,32.0,9.0,40.0,15.0,19.0,22.0,115.0,30.0,50.0,20.0,29.0,14.0,17.0,30.0,163.0,36.0,670.0
2009-12-31,26.0,19.0,6.0,26.0,4.0,14.0,10.0,55.0,23.0,47.0,41.0,25.0,1.0,7.0,22.0,133.0,35.0,494.0
2010-12-31,49.0,34.0,7.0,44.0,11.0,28.0,32.0,120.0,55.0,77.0,43.0,25.0,9.0,29.0,30.0,204.0,57.0,854.0
2011-12-31,41.0,39.0,10.0,46.0,14.0,28.0,40.0,135.0,51.0,84.0,56.0,25.0,8.0,14.0,19.0,210.0,30.0,850.0
2012-12-31,46.0,54.0,12.0,50.0,9.0,29.0,40.0,220.0,64.0,84.0,51.0,16.0,9.0,30.0,20.0,202.0,39.0,975.0
2013-12-31,31.0,44.0,12.0,59.0,14.0,35.0,30.0,156.0,39.0,69.0,39.0,13.0,7.0,20.0,16.0,214.0,23.0,821.0
2014-12-31,57.0,54.0,11.0,64.0,9.0,39.0,22.0,207.0,87.0,94.0,41.0,11.0,11.0,34.0,20.0,261.0,26.0,1048.0
