Date,Number Total,Number Known,Price ($M),Average ($M),Mean Time to Exit (Years),Median Time to Exit (Years)
1985-12-31,8.0,3.0,300.2,100.1,7.2,5.3
1986-12-31,13.0,4.0,246.4,61.6,3.6,4.0
1987-12-31,18.0,9.0,1922.2,213.6,4.3,3.4
1988-12-31,34.0,20.0,4035.3,201.8,3.7,3.4
1989-12-31,30.0,17.0,2594.8,152.6,4.4,3.6
1990-12-31,29.0,12.0,929.7,77.5,6.1,5.3
1991-12-31,29.0,11.0,774.5,70.4,5.2,4.7
1992-12-31,92.0,59.0,3450.8,58.5,4.7,4.0
1993-12-31,101.0,61.0,4355.0,71.4,5.1,4.7
1994-12-31,111.0,72.0,7915.3,109.9,5.6,5.2
1995-12-31,143.0,89.0,9607.2,107.9,5.0,4.8
1996-12-31,162.0,119.0,19651.9,165.1,4.8,3.8
1997-12-31,222.0,151.0,31359.2,207.7,5.1,3.8
1998-12-31,275.0,181.0,34789.5,192.2,4.5,3.0
1999-12-31,308.0,205.0,62661.9,305.7,3.8,3.0
2000-12-31,474.0,304.0,134860.0,443.6,3.5,2.8
2001-12-31,465.0,220.0,64155.5,291.6,3.4,2.4
2002-12-31,442.0,220.0,30825.5,140.1,3.8,3.0
2003-12-31,431.0,203.0,25863.7,127.4,4.5,3.8
2004-12-31,560.0,289.0,49568.9,171.5,5.2,4.6
2005-12-31,683.0,315.0,64743.3,205.5,5.4,5.2
2006-12-31,775.0,335.0,102936.3,307.3,5.6,5.5
2007-12-31,881.0,363.0,186622.3,514.1,5.6,5.2
2008-12-31,670.0,225.0,57896.1,257.3,5.4,4.6
2009-12-31,494.0,163.0,55086.1,338.0,5.5,4.9
2010-12-31,854.0,290.0,102157.3,352.3,5.7,4.7
2011-12-31,850.0,298.0,91534.7,307.2,5.8,5.0
2012-12-31,975.0,304.0,128680.9,423.3,5.9,5.3
2013-12-31,821.0,209.0,87455.9,418.4,5.9,5.4
2014-12-31,1048.0,327.0,155780.1,476.4,6.3,5.8
