Date,Number of IPOs,Offer Amount ($M),Med Offer Amt ($M),Mean Offer Amt ($M),Post Offer Value ($M),Med Post Value ($M),Mean Post Value ($M),Median Time to Exit,Mean Time to Exit (Years)
1985-12-31,48.0,763.0,13.0,16.0,1974.0,34.0,47.0,2.8,3.9
1986-12-31,104.0,2375.0,13.0,23.0,142307.0,51.0,1599.0,3.9,4.2
1987-12-31,86.0,2125.0,17.0,25.0,9277.0,43.0,131.0,3.7,3.9
1988-12-31,42.0,763.0,15.0,18.0,11434.0,53.0,318.0,3.2,3.7
1989-12-31,42.0,873.0,16.0,21.0,2473.0,51.0,73.0,3.9,4.2
1990-12-31,47.0,1108.0,20.0,24.0,2872.0,58.0,87.0,3.6,4.2
1991-12-31,120.0,3726.0,27.0,31.0,21295.0,82.0,245.0,4.7,5.0
1992-12-31,147.0,5347.0,24.0,36.0,10500.0,64.0,99.0,4.5,5.0
1993-12-31,174.0,6062.0,24.0,35.0,22136.0,72.0,196.0,5.4,5.7
1994-12-31,137.0,3920.0,24.0,29.0,15739.0,70.0,147.0,4.7,5.3
1995-12-31,183.0,7793.0,36.0,43.0,30351.0,111.0,243.0,3.8,4.9
1996-12-31,254.0,12632.0,35.0,50.0,56154.0,120.0,271.0,3.2,4.2
1997-12-31,140.0,5818.0,33.0,42.0,21104.0,91.0,167.0,3.0,6.1
1998-12-31,78.0,4125.0,43.0,53.0,9729.0,135.0,168.0,2.5,3.1
1999-12-31,276.0,23420.0,69.0,85.0,98455.0,283.0,426.0,2.8,3.0
2000-12-31,238.0,27443.0,83.0,115.0,100208.0,335.0,545.0,3.1,3.7
2001-12-31,37.0,4039.0,67.0,109.0,15958.0,293.0,532.0,4.0,4.5
2002-12-31,24.0,2333.0,89.0,97.0,8322.0,266.0,347.0,3.3,5.0
2003-12-31,26.0,2024.0,71.0,78.0,7412.0,252.0,285.0,5.4,5.6
2004-12-31,81.0,9810.0,69.0,121.0,49952.0,252.0,617.0,5.4,6.0
2005-12-31,58.0,4886.0,66.0,84.0,55923.0,207.0,964.0,5.4,5.4
2006-12-31,67.0,7065.0,86.0,105.0,71124.0,283.0,1078.0,5.3,5.6
2007-12-31,90.0,11739.0,97.0,130.0,66121.0,367.0,735.0,6.0,6.0
2008-12-31,7.0,765.0,83.0,109.0,3645.0,278.0,521.0,7.4,7.3
2009-12-31,13.0,1980.0,123.0,152.0,9192.0,548.0,707.0,5.9,6.9
2010-12-31,67.0,8070.0,95.0,120.0,108061.0,442.0,1613.0,5.0,6.0
2011-12-31,50.0,10441.0,105.0,209.0,92501.0,601.0,1850.0,6.2,7.0
2012-12-31,49.0,21460.0,89.0,438.0,122177.0,371.0,2493.0,7.2,7.8
2013-12-31,81.0,11068.0,91.0,137.0,62700.0,354.0,784.0,7.4,8.1
2014-12-31,115.0,15299.0,86.0,133.0,121131.0,299.0,1063.0,6.9,7.5
