Date,Biotechnology,Business Products and Services,Computers and Peripherals,Consumer Products and Services,Electronics/Instrumentation,Financial Services,Healthcare Services,Industrial/Energy,IT Services,Media and Entertainment,Medical Devices and Equipment,Networking and Equipment,Other,Retailing/Distribution,Semiconductors,Software,Telecommunications,Total
1985-12-31,5.0,1.0,9.0,1.0,1.0,0.0,4.0,3.0,1.0,4.0,3.0,1.0,0.0,5.0,1.0,3.0,6.0,48.0
1986-12-31,16.0,2.0,14.0,5.0,6.0,3.0,1.0,5.0,1.0,9.0,10.0,2.0,1.0,3.0,4.0,15.0,7.0,104.0
1987-12-31,14.0,0.0,9.0,1.0,3.0,3.0,1.0,13.0,3.0,2.0,8.0,5.0,0.0,3.0,5.0,10.0,6.0,86.0
1988-12-31,1.0,1.0,5.0,1.0,0.0,1.0,0.0,6.0,1.0,1.0,4.0,2.0,0.0,5.0,5.0,7.0,2.0,42.0
1989-12-31,6.0,0.0,4.0,3.0,0.0,3.0,1.0,4.0,0.0,1.0,5.0,2.0,0.0,1.0,3.0,8.0,1.0,42.0
1990-12-31,4.0,1.0,3.0,1.0,2.0,0.0,3.0,6.0,0.0,2.0,8.0,2.0,0.0,1.0,1.0,9.0,4.0,47.0
1991-12-31,31.0,3.0,3.0,6.0,0.0,1.0,13.0,10.0,5.0,3.0,12.0,8.0,0.0,1.0,9.0,14.0,1.0,120.0
1992-12-31,27.0,4.0,10.0,7.0,4.0,5.0,6.0,7.0,2.0,7.0,27.0,11.0,1.0,6.0,4.0,13.0,6.0,147.0
1993-12-31,22.0,6.0,9.0,5.0,12.0,2.0,4.0,19.0,1.0,10.0,14.0,6.0,0.0,11.0,13.0,26.0,14.0,174.0
1994-12-31,13.0,3.0,5.0,2.0,5.0,8.0,4.0,13.0,3.0,9.0,17.0,14.0,0.0,3.0,9.0,19.0,10.0,137.0
1995-12-31,16.0,1.0,8.0,9.0,9.0,5.0,3.0,11.0,5.0,3.0,20.0,10.0,0.0,3.0,16.0,56.0,8.0,183.0
1996-12-31,32.0,7.0,10.0,7.0,8.0,10.0,5.0,20.0,9.0,13.0,44.0,10.0,0.0,9.0,1.0,51.0,18.0,254.0
1997-12-31,21.0,3.0,3.0,6.0,2.0,4.0,7.0,19.0,4.0,7.0,13.0,6.0,1.0,4.0,8.0,26.0,6.0,140.0
1998-12-31,7.0,1.0,3.0,7.0,1.0,2.0,3.0,2.0,5.0,3.0,2.0,5.0,0.0,6.0,1.0,21.0,9.0,78.0
1999-12-31,8.0,16.0,4.0,10.0,2.0,7.0,7.0,3.0,28.0,31.0,0.0,25.0,1.0,15.0,4.0,80.0,35.0,27.0
2000-12-31,47.0,8.0,6.0,3.0,3.0,1.0,2.0,7.0,16.0,11.0,11.0,17.0,1.0,4.0,10.0,58.0,33.0,238.0
2001-12-31,4.0,0.0,0.0,3.0,1.0,2.0,5.0,4.0,0.0,0.0,6.0,2.0,1.0,1.0,2.0,5.0,1.0,37.0
2002-12-31,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,5.0,0.0,24.0
2003-12-31,7.0,1.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,26.0
2004-12-31,26.0,0.0,0.0,3.0,0.0,7.0,1.0,2.0,1.0,7.0,13.0,1.0,0.0,0.0,6.0,10.0,4.0,81.0
2005-12-31,15.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,4.0,8.0,0.0,0.0,1.0,6.0,6.0,6.0,58.0
2006-12-31,16.0,0.0,0.0,4.0,0.0,4.0,0.0,7.0,2.0,6.0,11.0,4.0,0.0,1.0,2.0,8.0,2.0,67.0
2007-12-31,20.0,4.0,1.0,1.0,0.0,3.0,1.0,6.0,7.0,2.0,11.0,3.0,0.0,2.0,10.0,12.0,7.0,90.0
2008-12-31,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0
2009-12-31,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,13.0
2010-12-31,12.0,1.0,0.0,5.0,0.0,5.0,1.0,5.0,4.0,6.0,4.0,3.0,0.0,2.0,6.0,11.0,2.0,67.0
2011-12-31,11.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,8.0,2.0,0.0,0.0,0.0,3.0,9.0,5.0,50.0
2012-12-31,12.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,6.0,3.0,1.0,3.0,0.0,0.0,2.0,11.0,3.0,49.0
2013-12-31,42.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,4.0,6.0,4.0,3.0,0.0,0.0,3.0,13.0,1.0,81.0
2014-12-31,65.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,4.0,5.0,9.0,2.0,0.0,2.0,0.0,20.0,0.0,115.0
