Date,Biotechnology,Business Products and Services,Computers and Peripherals,Consumer Products and Services,Electronics/Instrumentation,Financial Services,Healthcare Services,Industrial/Energy,IT Services,Media and Entertainment,Medical Devices and Equipment,Networking and Equipment,Other,Retailing/Distribution,Semiconductors,Software,Telecommunications,Total
1995-12-31,831.4457,188.3499,314.6851,526.6551,137.1411,183.525,463.7396,541.8306,174.8507,943.998,667.7035,372.2993,37.7649,297.3535,214.4634,1183.5126,937.2054,8016.5234
1996-12-31,1188.4704,292.5379,357.8106,516.6969,190.6817,335.1741,737.9892,471.0701,446.3553,1154.6796,625.9396,634.0468,21.273,266.9375,346.29,2378.0096,1321.4607,11285.423
1997-12-31,1363.8743,437.135,393.755,746.9154,306.7784,382.4078,970.5344,703.7498,630.8109,1108.6241,1037.6779,961.7339,66.696,320.629,597.394,3485.0997,1557.739,15071.5546
1998-12-31,1547.0587,680.5269,369.816,700.5607,198.4946,866.3799,960.3583,1283.8416,1077.7594,1863.7152,1269.6402,1436.2359,124.972,734.7559,651.6305,4789.3843,3006.4013,21561.5314
1999-12-31,2106.485,2661.4811,943.176,2712.8064,271.5433,2114.6046,1491.6363,1431.1639,4443.2817,7408.6992,1581.3977,4643.1288,214.484,2814.7983,1389.0702,10813.0073,7867.8336,54908.5974
2000-12-31,4290.3049,4543.3462,1559.633,3219.2407,781.1567,4083.2901,1392.0944,2636.9661,9079.2317,10778.6081,2410.1853,11598.6973,59.7349,3204.3907,3857.3252,25451.7687,16051.8738,104997.8478
2001-12-31,3548.1715,1082.1459,690.4174,706.4413,379.796,1191.871,536.6639,1228.9034,2472.1743,2371.7385,2054.6018,5650.3419,54.7,367.6995,2479.6437,11069.1485,5054.1426,40938.6012
2002-12-31,3332.8294,488.8788,446.6709,255.3552,314.5332,325.1547,374.3,809.9195,1036.9876,801.9239,1867.22,2599.1372,17.0,138.624,1660.9951,5576.9373,2156.0859,22202.5527
2003-12-31,3751.1625,678.576,290.9146,156.5459,231.6489,410.726,227.5054,732.9389,731.2141,674.422,1623.4969,1726.2509,0.0,63.801,1801.8626,4993.201,1587.8939,19682.1606
2004-12-31,4390.838,460.6074,520.8069,306.0371,374.0171,522.4656,381.6686,856.6702,722.5962,1027.4944,1938.2799,1543.0453,13.6,216.83,2172.463,5602.826,1801.9453,22852.191
2005-12-31,4026.9216,356.7396,450.4813,413.4868,445.2862,544.1112,368.512,1104.3664,1013.9446,1165.5941,2181.2397,1679.0054,0.1,242.8142,1882.7784,5339.6607,2030.3255,23245.3677
2006-12-31,5046.2139,583.2163,345.347,403.7036,646.0665,545.2912,379.6106,1873.1275,1508.0302,1896.0407,2820.9945,1194.4905,60.0,190.0709,2354.6937,5595.1723,2424.3505,27866.4199
2007-12-31,6002.8805,613.0378,527.8312,447.6032,563.1132,607.9146,335.1153,2975.2383,1881.6879,2130.772,3634.1196,1398.4032,3.099,328.7767,2095.8491,6410.3885,2150.2946,32106.1247
2008-12-31,5176.2543,455.7992,353.5224,644.8246,606.4002,492.6555,187.0269,4586.5154,2110.0048,2002.1865,3583.8394,786.0992,20.0,228.6658,1637.051,6083.1836,1481.5695,30435.5983
2009-12-31,3939.9294,301.5964,316.6523,482.873,368.4175,335.5933,129.5748,2597.6921,1288.4187,1688.2667,2615.3573,739.9135,27.841,128.3351,773.0961,4002.7727,599.5773,20335.9072
2010-12-31,3983.851,404.2987,343.19,635.8374,395.2385,384.7124,261.7892,3275.0615,1742.3125,1624.3879,2537.7482,560.9129,27.801,135.6214,1225.4779,5270.3318,716.3447,23524.917
2011-12-31,4716.2093,166.153,411.9406,1342.8846,397.5842,420.709,393.7787,3883.9593,2538.5184,2387.5657,2872.8704,429.9005,10.281,361.4546,1440.0024,7552.0169,577.6876,29903.5162
2012-12-31,4336.9197,119.9416,368.0899,1422.6877,248.7939,270.3589,254.395,2928.9889,1971.9606,2195.3931,2494.0806,380.5688,29.345,394.1331,846.4981,8650.6781,750.1107,27662.9437
2013-12-31,4624.0866,140.9945,565.0227,1334.2002,303.5526,615.633,217.3124,1551.7487,2164.9574,2839.4086,2196.3137,745.8519,115.708,195.7183,716.9282,11283.5978,674.8985,30285.9331
2014-12-31,6343.838,675.786,1457.9737,3066.6582,709.3742,1075.5746,359.489,2357.7642,3085.397,4738.4967,2733.9203,502.8278,29.925,767.5002,765.2431,21876.3509,289.5346,50835.6535
2015-12-31,7408.1851,612.9431,737.5118,4800.123,391.7499,3045.0548,837.9167,3164.0661,3862.5704,4748.7509,2725.7987,292.8486,75.778,1021.0167,779.1785,23595.2578,712.4382,58811.1883
