Date,Seed,Early Stage,Expansion,Later Stage,Total
1985-12-31,357.0,290.0,525.0,173.0,1345.0
1986-12-31,388.0,333.0,504.0,196.0,1421.0
1987-12-31,387.0,412.0,616.0,231.0,1646.0
1988-12-31,371.0,359.0,614.0,182.0,1526.0
1989-12-31,355.0,338.0,664.0,187.0,1544.0
1990-12-31,258.0,370.0,603.0,231.0,1462.0
1991-12-31,193.0,278.0,544.0,258.0,1273.0
1992-12-31,252.0,291.0,606.0,243.0,1392.0
1993-12-31,290.0,184.0,515.0,223.0,1212.0
1994-12-31,332.0,256.0,429.0,220.0,1237.0
1995-12-31,430.0,521.0,702.0,244.0,1897.0
1996-12-31,502.0,754.0,1041.0,338.0,2635.0
1997-12-31,541.0,900.0,1401.0,390.0,3232.0
1998-12-31,672.0,1032.0,1568.0,472.0,3744.0
1999-12-31,811.0,1739.0,2438.0,617.0,5605.0
2000-12-31,707.0,2856.0,3692.0,786.0,8041.0
2001-12-31,282.0,1303.0,2389.0,622.0,4596.0
2002-12-31,182.0,887.0,1581.0,567.0,3217.0
2003-12-31,219.0,810.0,1352.0,656.0,3037.0
2004-12-31,233.0,908.0,1196.0,899.0,3236.0
2005-12-31,263.0,876.0,1101.0,1062.0,3302.0
2006-12-31,401.0,1014.0,1374.0,1108.0,3897.0
2007-12-31,525.0,1153.0,1265.0,1291.0,4234.0
2008-12-31,534.0,1179.0,1243.0,1251.0,4207.0
2009-12-31,373.0,999.0,892.0,907.0,3171.0
2010-12-31,405.0,1317.0,1068.0,885.0,3675.0
2011-12-31,437.0,1667.0,1025.0,920.0,4049.0
2012-12-31,305.0,1824.0,1006.0,856.0,3991.0
2013-12-31,243.0,2202.0,1033.0,815.0,4293.0
2014-12-31,207.0,2202.0,1162.0,870.0,4441.0
2015-12-31,185.0,2215.0,1145.0,835.0,4380.0
