Date,CA,MA,NY,CT,IL,TX,PA,NJ,DC,WA,MD,CO,VA,NC,MN,UT,MI,GA,TN,DE,MO,OH,FL,IN,WI,AL,AZ,LA,KY,ME,ID,ND,OK,OR,NM,SD,HI,KS,IA,VT,NH,NE,MT,MS,PR,WY,SC,RI,NV,WV,AR,UNK,AK,Total
1985-12-31,5024.0,2252.0,3382.0,1297.0,474.0,458.0,281.0,616.0,36.0,316.0,91.0,365.0,73.0,34.0,200.0,9.0,112.0,89.0,103.0,39.0,562.0,860.0,125.0,45.0,183.0,126.0,41.0,7.0,15.0,1.0,0.0,0.0,1.0,170.0,71.0,0.0,2.0,0.0,50.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,2.0,46.0,0.0,17600.0
1986-12-31,5974.0,2580.0,4428.0,1444.0,493.0,493.0,347.0,713.0,38.0,409.0,95.0,431.0,79.0,55.0,297.0,19.0,120.0,95.0,128.0,41.0,586.0,897.0,131.0,56.0,100.0,132.0,44.0,7.0,16.0,1.0,0.0,0.0,29.0,177.0,100.0,0.0,2.0,0.0,52.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,2.0,48.0,0.0,20700.0
1987-12-31,6815.0,3409.0,4370.0,1807.0,725.0,727.0,376.0,752.0,38.0,387.0,121.0,399.0,79.0,87.0,340.0,20.0,126.0,176.0,192.0,40.0,619.0,976.0,173.0,56.0,99.0,132.0,44.0,7.0,16.0,20.0,0.0,0.0,29.0,205.0,136.0,0.0,2.0,0.0,105.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,2.0,48.0,0.0,23700.0
1988-12-31,7051.0,3775.0,4160.0,1876.0,907.0,726.0,396.0,740.0,40.0,425.0,117.0,518.0,85.0,90.0,677.0,15.0,123.0,260.0,185.0,39.0,596.0,838.0,193.0,78.0,96.0,128.0,73.0,7.0,16.0,25.0,0.0,0.0,28.0,241.0,133.0,0.0,2.0,0.0,102.0,0.0,50.0,1.0,1.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,2.0,47.0,0.0,24900.0
1989-12-31,8318.0,4179.0,5598.0,1714.0,863.0,798.0,564.0,736.0,41.0,398.0,159.0,618.0,105.0,125.0,749.0,15.0,124.0,263.0,216.0,47.0,603.0,256.0,196.0,97.0,104.0,135.0,75.0,7.0,0.0,26.0,0.0,0.0,37.0,244.0,170.0,0.0,2.0,0.0,81.0,0.0,50.0,1.0,1.0,0.0,0.0,0.0,15.0,37.0,0.0,0.0,2.0,31.0,0.0,27800.0
1990-12-31,8192.0,4057.0,5805.0,1713.0,876.0,840.0,601.0,954.0,42.0,385.0,164.0,575.0,92.0,114.0,886.0,16.0,38.0,276.0,260.0,41.0,658.0,259.0,133.0,88.0,104.0,137.0,76.0,5.0,0.0,26.0,0.0,0.0,38.0,247.0,257.0,0.0,2.0,13.0,82.0,0.0,51.0,1.0,1.0,0.0,9.0,0.0,15.0,37.0,0.0,0.0,2.0,31.0,0.0,28200.0
1991-12-31,8257.0,3761.0,5455.0,1570.0,840.0,777.0,604.0,885.0,42.0,199.0,98.0,557.0,56.0,110.0,815.0,16.0,14.0,264.0,278.0,41.0,656.0,275.0,110.0,80.0,79.0,137.0,75.0,2.0,0.0,26.0,0.0,0.0,37.0,229.0,244.0,0.0,2.0,13.0,62.0,0.0,50.0,1.0,1.0,0.0,9.0,0.0,15.0,36.0,0.0,0.0,2.0,21.0,0.0,26800.0
1992-12-31,8258.0,4636.0,5308.0,1665.0,944.0,809.0,598.0,549.0,40.0,243.0,115.0,531.0,42.0,111.0,768.0,10.0,14.0,263.0,271.0,14.0,645.0,305.0,98.0,97.0,79.0,138.0,34.0,11.0,0.0,28.0,0.0,0.0,37.0,117.0,232.0,0.0,0.0,13.0,62.0,0.0,51.0,1.0,1.0,0.0,9.0,0.0,15.0,36.0,0.0,0.0,0.0,0.0,0.0,27200.0
1993-12-31,9062.0,4830.0,5904.0,1927.0,1202.0,935.0,569.0,511.0,25.0,227.0,374.0,616.0,35.0,108.0,841.0,10.0,13.0,433.0,199.0,41.0,107.0,427.0,151.0,99.0,81.0,6.0,44.0,22.0,0.0,29.0,0.0,0.0,38.0,73.0,205.0,0.0,0.0,14.0,54.0,0.0,27.0,11.0,1.0,0.0,9.0,0.0,15.0,22.0,0.0,0.0,0.0,0.0,0.0,29300.0
1994-12-31,9978.0,5179.0,6968.0,2088.0,1275.0,1143.0,738.0,695.0,24.0,178.0,784.0,565.0,32.0,146.0,896.0,25.0,10.0,432.0,291.0,51.0,137.0,469.0,223.0,109.0,163.0,6.0,43.0,31.0,7.0,98.0,0.0,0.0,9.0,74.0,179.0,0.0,0.0,14.0,55.0,0.0,27.0,11.0,0.0,0.0,9.0,0.0,15.0,22.0,0.0,0.0,0.0,0.0,0.0,33200.0
1995-12-31,12015.0,6553.0,8246.0,2064.0,1419.0,1145.0,822.0,958.0,146.0,299.0,914.0,475.0,48.0,123.0,877.0,31.0,41.0,434.0,306.0,100.0,119.0,447.0,321.0,111.0,168.0,6.0,44.0,49.0,21.0,89.0,0.0,0.0,10.0,77.0,154.0,0.0,2.0,37.0,5.0,0.0,47.0,105.0,0.0,11.0,9.0,0.0,29.0,23.0,0.0,0.0,0.0,0.0,0.0,38900.0
1996-12-31,15379.0,6980.0,9995.0,2194.0,1263.0,1233.0,1332.0,1489.0,1698.0,463.0,1523.0,552.0,73.0,294.0,514.0,31.0,41.0,361.0,455.0,122.0,125.0,377.0,304.0,194.0,196.0,6.0,10.0,90.0,21.0,87.0,0.0,0.0,32.0,30.0,152.0,10.0,2.0,37.0,5.0,0.0,19.0,137.0,0.0,11.0,9.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,47900.0
1997-12-31,20289.0,9859.0,10311.0,3323.0,1939.0,1688.0,1750.0,1563.0,2382.0,680.0,2012.0,867.0,252.0,620.0,618.0,94.0,66.0,765.0,465.0,115.0,148.0,692.0,380.0,176.0,180.0,5.0,10.0,277.0,21.0,88.0,0.0,0.0,23.0,30.0,121.0,10.0,2.0,57.0,16.0,0.0,66.0,139.0,0.0,11.0,49.0,0.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,62200.0
1998-12-31,27452.0,15397.0,19676.0,4492.0,2191.0,3001.0,2105.0,2177.0,2504.0,1081.0,2649.0,1165.0,508.0,806.0,715.0,96.0,77.0,1077.0,745.0,117.0,111.0,766.0,690.0,192.0,204.0,24.0,38.0,367.0,21.0,89.0,0.0,0.0,67.0,40.0,12.0,85.0,2.0,43.0,17.0,0.0,67.0,141.0,0.0,12.0,40.0,0.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,91100.0
1999-12-31,51226.0,22905.0,26659.0,6787.0,3693.0,4797.0,3090.0,2715.0,2661.0,1796.0,3513.0,3337.0,1238.0,1009.0,1093.0,131.0,439.0,1164.0,1059.0,116.0,217.0,1247.0,1072.0,207.0,174.0,33.0,38.0,444.0,21.0,207.0,0.0,0.0,66.0,40.0,12.0,84.0,11.0,43.0,16.0,0.0,66.0,140.0,0.0,11.0,40.0,0.0,37.0,2.0,24.0,0.0,19.0,0.0,0.0,143700.0
2000-12-31,85153.0,37341.0,38938.0,8260.0,4308.0,6881.0,6241.0,3633.0,3899.0,2803.0,5119.0,4781.0,2524.0,1367.0,2238.0,268.0,588.0,2311.0,1237.0,114.0,307.0,1850.0,1785.0,663.0,246.0,107.0,101.0,476.0,21.0,202.0,14.0,0.0,140.0,100.0,12.0,178.0,11.0,42.0,16.0,16.0,65.0,175.0,0.0,11.0,39.0,118.0,36.0,2.0,23.0,21.0,19.0,0.0,0.0,224800.0
2001-12-31,105283.0,45970.0,39981.0,10623.0,4747.0,8001.0,6344.0,4315.0,4172.0,3687.0,5383.0,5293.0,2638.0,1448.0,2189.0,475.0,591.0,2160.0,1281.0,80.0,450.0,1874.0,1751.0,662.0,245.0,107.0,104.0,651.0,21.0,290.0,14.0,0.0,140.0,100.0,12.0,178.0,11.0,42.0,60.0,43.0,65.0,165.0,0.0,39.0,68.0,117.0,37.0,26.0,23.0,21.0,19.0,0.0,0.0,262000.0
2002-12-31,105172.0,47440.0,38421.0,10462.0,5202.0,7932.0,6241.0,4231.0,4739.0,3691.0,5165.0,5438.0,2652.0,1599.0,2366.0,449.0,590.0,2154.0,1162.0,69.0,418.0,1876.0,1684.0,651.0,152.0,107.0,145.0,648.0,14.0,218.0,14.0,0.0,139.0,112.0,12.0,177.0,11.0,42.0,60.0,43.0,65.0,164.0,0.0,39.0,68.0,117.0,51.0,26.0,33.0,21.0,19.0,0.0,0.0,262300.0
2003-12-31,107896.0,47019.0,37176.0,10431.0,5559.0,7806.0,6532.0,4444.0,4616.0,3568.0,5047.0,5416.0,2822.0,1803.0,2359.0,560.0,631.0,2077.0,1174.0,28.0,407.0,1855.0,1592.0,684.0,152.0,155.0,180.0,631.0,14.0,219.0,14.0,0.0,139.0,83.0,33.0,177.0,9.0,19.0,55.0,43.0,46.0,71.0,0.0,28.0,68.0,117.0,38.0,35.0,33.0,21.0,19.0,0.0,0.0,263900.0
2004-12-31,113719.0,47553.0,36710.0,12066.0,5685.0,8259.0,6439.0,4083.0,3401.0,4629.0,4811.0,5229.0,2868.0,1644.0,2361.0,589.0,859.0,2109.0,1043.0,15.0,504.0,1986.0,1577.0,593.0,133.0,173.0,180.0,663.0,14.0,214.0,14.0,0.0,117.0,85.0,35.0,175.0,16.0,19.0,65.0,43.0,47.0,38.0,0.0,28.0,68.0,117.0,15.0,35.0,33.0,21.0,19.0,0.0,0.0,271100.0
2005-12-31,119881.0,48784.0,36242.0,11984.0,5163.0,8486.0,6509.0,4074.0,3582.0,4590.0,4762.0,4882.0,3338.0,1468.0,2441.0,546.0,912.0,1835.0,1089.0,15.0,1232.0,1806.0,1802.0,595.0,105.0,225.0,199.0,502.0,21.0,215.0,14.0,0.0,117.0,85.0,69.0,175.0,16.0,0.0,53.0,43.0,0.0,38.0,0.0,28.0,29.0,118.0,20.0,33.0,33.0,21.0,19.0,0.0,0.0,278200.0
2006-12-31,128655.0,53712.0,29115.0,13336.0,5286.0,8242.0,7037.0,5160.0,4641.0,4597.0,4744.0,4664.0,3367.0,1678.0,2593.0,651.0,946.0,1940.0,887.0,15.0,1293.0,1722.0,1525.0,608.0,207.0,227.0,171.0,431.0,219.0,310.0,84.0,0.0,111.0,76.0,74.0,103.0,16.0,0.0,60.0,43.0,11.0,38.0,2.0,29.0,29.0,118.0,20.0,33.0,33.0,21.0,19.0,0.0,0.0,288900.0
2007-12-31,117244.0,50417.0,25441.0,11699.0,4239.0,6589.0,7143.0,5022.0,5047.0,5174.0,4433.0,3011.0,3014.0,1564.0,2473.0,1259.0,685.0,1931.0,716.0,251.0,1385.0,1329.0,1284.0,617.0,254.0,219.0,173.0,353.0,221.0,194.0,86.0,0.0,121.0,78.0,77.0,113.0,7.0,0.0,67.0,57.0,11.0,38.0,2.0,30.0,30.0,119.0,20.0,33.0,9.0,21.0,0.0,0.0,0.0,264300.0
2008-12-31,100374.0,37146.0,13205.0,10426.0,3620.0,5467.0,4642.0,4135.0,4833.0,4625.0,2934.0,1603.0,1801.0,1211.0,1639.0,1335.0,919.0,808.0,624.0,256.0,1317.0,713.0,557.0,136.0,182.0,359.0,130.0,336.0,226.0,198.0,73.0,13.0,47.0,34.0,79.0,32.0,14.0,0.0,69.0,41.0,11.0,0.0,2.0,30.0,31.0,0.0,21.0,34.0,10.0,0.0,0.0,0.0,0.0,206300.0
2009-12-31,87469.0,30861.0,12198.0,7428.0,3282.0,4193.0,4482.0,3917.0,4632.0,3721.0,3005.0,974.0,2226.0,1238.0,1657.0,1144.0,976.0,783.0,614.0,404.0,1182.0,565.0,801.0,342.0,185.0,363.0,118.0,196.0,228.0,108.0,74.0,13.0,47.0,40.0,80.0,32.0,14.0,0.0,39.0,14.0,11.0,0.0,2.0,1.0,1.0,0.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,179700.0
2010-12-31,90424.0,30528.0,13599.0,8201.0,3065.0,4057.0,4495.0,3965.0,4049.0,3691.0,2927.0,1139.0,2271.0,1730.0,1319.0,1209.0,1065.0,787.0,840.0,504.0,1189.0,522.0,875.0,343.0,212.0,366.0,263.0,265.0,230.0,109.0,74.0,14.0,48.0,29.0,114.0,48.0,43.0,0.0,39.0,19.0,11.0,2.0,2.0,1.0,1.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,184700.0
2011-12-31,96923.0,30209.0,18628.0,8940.0,4595.0,4735.0,4250.0,3691.0,4527.0,3708.0,3134.0,1148.0,2081.0,1631.0,1323.0,1245.0,1263.0,921.0,857.0,653.0,1192.0,573.0,832.0,309.0,237.0,391.0,261.0,282.0,216.0,109.0,74.0,14.0,48.0,29.0,84.0,48.0,44.0,14.0,39.0,19.0,11.0,2.0,2.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,199300.0
2012-12-31,99386.0,32914.0,17653.0,6928.0,4451.0,4455.0,4220.0,3503.0,4193.0,2943.0,3282.0,1187.0,2056.0,1726.0,1426.0,1422.0,1045.0,882.0,845.0,755.0,1324.0,456.0,834.0,344.0,309.0,376.0,311.0,217.0,223.0,110.0,75.0,14.0,48.0,38.0,83.0,40.0,36.0,14.0,29.0,19.0,16.0,3.0,2.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,200200.0
2013-12-31,94077.0,32637.0,19480.0,5815.0,4517.0,4215.0,3623.0,3447.0,3369.0,3303.0,2854.0,1635.0,1583.0,1558.0,1531.0,1429.0,1203.0,1122.0,795.0,756.0,561.0,529.0,529.0,345.0,339.0,317.0,295.0,249.0,216.0,110.0,75.0,58.0,50.0,46.0,42.0,40.0,36.0,34.0,29.0,29.0,16.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192900.0
2014-12-31,85148.0,20418.0,19590.0,1966.0,1911.0,3049.0,2509.0,1126.0,1985.0,2962.0,2023.0,1635.0,1775.0,950.0,1044.0,1238.0,1122.0,659.0,1138.0,210.0,565.0,608.0,1200.0,324.0,228.0,299.0,416.0,54.0,7.0,10.0,1.0,59.0,23.0,47.0,37.0,40.0,16.0,64.0,31.0,31.0,5.0,3.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,156542.0
