Date,Biotechnology,Business Products and Services,Computers and Peripherals,Consumer Products and Services,Electronics/Instrumentation,Financial Services,Healthcare Services,Industrial/Energy,IT Services,Media and Entertainment,Medical Devices and Equipment,Networking and Equipment,Other,Retailing/Distribution,Semiconductors,Software,Telecommunications,Total
1995-12-31,159.312,136.2771,148.0532,309.8461,52.9379,114.042,300.396,448.2213,44.9151,775.1301,188.3551,95.457,12.99,213.9725,69.5239,537.1032,365.2064,3971.7389
1996-12-31,209.6112,161.248,115.1623,206.5186,85.749,269.219,273.9279,254.546,225.3639,364.621,219.633,131.3941,0.483,130.6651,130.4978,937.3885,416.395,4132.4234
1997-12-31,345.9038,267.5545,110.1581,194.8472,123.8141,252.191,342.4672,352.2518,228.7911,419.5532,263.0879,224.2507,15.292,114.206,166.2131,1064.0471,388.3958,4873.0246
1998-12-31,384.2653,329.5463,119.598,260.3479,47.5489,461.2935,239.175,797.0775,377.2127,678.0554,273.2495,325.8746,61.771,335.3277,172.5152,1396.1697,955.7949,7214.8231
1999-12-31,417.8935,1038.1073,273.5119,810.7852,79.176,762.8328,359.3757,708.2068,1604.1848,2472.8831,310.4169,1574.8323,92.319,698.7022,292.2393,2922.5137,1910.052,16328.0325
2000-12-31,808.0935,1893.9598,336.7514,954.2663,144.09,1477.2358,427.8024,1106.8413,2576.6644,2845.5727,339.4671,2629.837,37.019,868.2855,1145.2322,6188.5274,4733.2989,28512.9447
2001-12-31,825.6318,279.5333,258.8212,145.5771,117.041,297.4792,84.427,471.0648,304.2905,345.8905,267.7741,809.5191,36.589,59.124,502.8998,1717.0501,793.6929,7316.4054
2002-12-31,700.3201,117.8429,18.575,44.8511,82.3313,74.5398,155.0929,435.0093,167.422,208.5276,246.022,245.412,17.0,34.7,350.3078,1238.5399,182.8952,4319.3889
2003-12-31,423.8191,346.6101,83.0144,78.0489,45.3947,94.4051,70.545,269.0038,136.1121,221.5234,311.5778,120.533,0.0,12.375,369.4107,948.0044,158.5657,3688.9432
2004-12-31,723.9991,225.922,92.627,123.65,93.9621,247.8898,87.5208,309.0229,199.093,285.1581,333.404,210.1832,13.6,118.33,413.0358,1264.6429,278.4228,5020.4635
2005-12-31,619.5655,147.2013,84.06,259.8848,130.105,334.3483,135.127,531.5109,342.3758,567.8833,385.0663,183.5063,0.1,132.788,269.712,1142.7217,342.0272,5607.9834
2006-12-31,1097.458,191.249,50.8419,111.4957,135.9105,202.5825,78.7308,619.4838,349.606,677.4504,565.847,125.5928,60.0,49.5,291.5101,1274.0771,408.0411,6289.3767
2007-12-31,1122.7878,261.3027,112.5232,206.1309,136.1131,368.5911,75.905,1252.4414,477.6971,608.1576,725.926,143.6606,3.013,85.3518,212.8739,1520.8883,459.7338,7773.0973
2008-12-31,927.6056,100.7293,97.7289,194.9883,67.2549,242.405,52.799,1295.0003,624.0761,476.5993,665.0858,50.719,0.0,34.6081,197.9035,1264.8416,292.874,6585.2187
2009-12-31,467.2131,111.5951,51.976,119.8522,44.989,144.283,59.522,563.5406,297.3936,234.2132,341.8876,37.4411,3.541,16.43,69.5253,806.4047,92.094,3461.9015
2010-12-31,627.423,75.869,41.909,176.4082,46.7249,152.75,149.8942,458.4971,409.0203,370.2481,296.6525,156.761,8.734,59.8881,116.5542,1070.7912,154.2106,4372.3354
2011-12-31,859.4754,77.965,87.8981,288.2093,17.5821,108.943,97.575,643.0948,316.0562,567.1846,253.2122,89.0682,2.38,161.9344,88.834,1774.4282,63.5742,5497.4147
2012-12-31,443.5536,25.2484,52.8998,276.5068,63.4908,17.608,64.1749,268.1439,291.1891,483.7715,213.9823,31.6012,23.897,43.6273,64.9849,2010.7397,146.3993,4521.8185
2013-12-31,695.8975,66.0111,84.094,184.2905,26.4802,185.0501,53.3622,141.2635,369.2976,425.3383,206.9407,36.6001,77.097,35.884,30.7378,2450.1092,17.765,5086.2188
2014-12-31,727.9083,447.849,137.7325,380.0489,104.3582,118.166,92.4522,452.8302,323.4973,831.122,459.578,57.0288,3.925,267.138,115.6092,2992.7506,39.9796,7551.9738
2015-12-31,1648.2187,109.9902,117.9475,614.4925,51.61,287.3568,183.2113,431.2079,672.5129,654.5833,338.208,16.5351,43.078,144.2721,70.7567,3425.3339,86.6346,8895.9495
