Date,Argentina,Bahamas,Bermuda,Canada,China,France,Germany,Hong Kong,India,Israel,Malaysia,Netherlands,Norway,Russia,South Korea,Switzerland,Taiwan,United Kingdom,United States
2005-12-31,,,,91.1,621.1,,,,,67.5,,,,,190.8,,70.35,,3844.83
2006-12-31,,137.5,,,624.7,,,,,78.0,,,43.8,380.525,144.089,,,,5655.93
2007-12-31,332.8,,,,2482.5,,,,,,,,,,,,,,8923.98
2008-12-31,,,,,,,,,,,,,,,,,,,765.026
2009-12-31,,,,,220.0,,,,,,,,,,,,,,1759.77
2010-12-31,,,,660.11,2607.9,,,103.3,80.5,,,,,,,,,,4617.78
2011-12-31,,,621.3,,1739.7,77.0,,,,,,304.6,,1434.79,,,,,6263.7
2012-12-31,,,,,165.7,,,,,,,,,,,,,,21294.22
2013-12-31,,,,,556.3,288.1,,,,208.2,,89.7,,,,,,73.968,9851.95
2014-12-31,,,,94.5,2886.1,,56.0,,,1076.7,168.75,,,,,60.7,,40.0,10916.3
