Date,Seed,Early Stage,Expansion,Later Stage,Total
1985-12-31,526.2,517.8,1245.7,486.8,2776.4
1986-12-31,759.7,620.3,1198.8,545.7,3124.5
1987-12-31,623.4,750.5,1495.1,494.6,3363.6
1988-12-31,670.5,714.6,1563.2,457.7,3406.0
1989-12-31,558.4,737.6,1595.8,427.8,3319.6
1990-12-31,397.1,684.4,1269.2,471.7,2822.4
1991-12-31,241.8,548.7,1100.2,363.3,2254.0
1992-12-31,556.5,566.8,1778.7,684.3,3586.3
1993-12-31,629.6,575.8,1866.0,585.4,3656.8
1994-12-31,781.2,839.7,1539.1,985.7,4145.7
1995-12-31,1269.0206,1741.1617,3554.6916,1451.6495,8016.5234
1996-12-31,1272.065,2665.4927,5421.0019,1926.8634,11285.423
1997-12-31,1361.131,3460.9766,7587.7639,2661.6831,15071.5546
1998-12-31,1766.5538,5505.0917,10354.6184,3935.2675,21561.5314
1999-12-31,3620.833,11481.9629,29275.7076,10530.0939,54908.5974
2000-12-31,3154.7226,25330.38,58886.6439,17626.1013,104997.8478
2001-12-31,816.8095,8612.3668,22805.9984,8703.4265,40938.6012
2002-12-31,340.6764,4041.9392,12067.137,5752.8001,22202.5527
2003-12-31,365.3995,3665.8183,9760.1245,5890.8183,19682.1606
2004-12-31,506.7175,4113.4874,8961.4312,9270.5549,22852.191
2005-12-31,686.4354,4283.6626,8289.1721,9986.0976,23245.3677
2006-12-31,1356.7039,4950.951,11033.9923,10524.7727,27866.4199
2007-12-31,1832.067,6298.324,10963.9528,13011.7809,32106.1247
2008-12-31,1957.2092,6045.8821,11193.1548,11239.3522,30435.5983
2009-12-31,1676.5309,5007.6684,6830.2333,6821.4746,20335.9072
2010-12-31,1654.995,6189.5943,8488.4251,7191.9026,23524.917
2011-12-31,1123.4021,9109.3671,9927.7011,9743.0459,29903.5162
2012-12-31,851.0594,8534.8206,9588.6513,8688.4124,27662.9437
2013-12-31,1030.5651,10435.4863,9904.9855,8914.8962,30285.9331
2014-12-31,827.8324,16124.0971,21450.6786,12433.0454,50835.6535
2015-12-31,902.5658,19830.838,22127.4616,15950.3229,58811.1883
