# taken from https://blog.rjmetrics.com/2014/04/23/whos-meeting-up-a-ranking-of-top-startup-cities/

City	Pop	Total Members	Members (% of Pop)	% Growth 2013	Total Meetup Count (now)	Members of Largest Group	Overall Score	Overall Rank
Portland, OR	557706	22674	4	118	114	2009	70.5	14
Minneapolis, MN	382605	15041	4	98	95	1101	84	17
Houston, TX	2242193	15384	1	98	95	1046	96	22
Baltimore, MD	636919	13772	2	91	45	4451	111.5	27
Pittsburgh, PA	310037	10971	4	90	71	861	100	23
Dallas, TX	1279910	23114	2	88	108	1679	87	19
Seattle, WA	598541	63664	11	85	223	3990	39	3
Denver, CO	598707	31731	5	76	152	1276	62	10
Orlando, FL	230519	10566	5	74	65	1325	106	26
Santa Monica, CA	87664	31824	36	73	81	3032	69	13
Miami, FL	413201	10645	3	73	64	1346	115	28
Austin, TX	757688	53993	7	71	228	2628	46	5
San Francisco, CA	808976	387904	48	70	744	10129	23	1
Philadelphia, PA	1447395	29106	2	69	102	4383	92.5	21
San Jose, CA	948279	38049	4	69	92	3587	82.5	16
Santa Clara, CA	110200	16084	15	65	57	3652	100	24
New York, NY	8363710	481584	6	64	954	38681	34	2
Boulder, CO	94171	28782	31	64	88	10297	84	18
Washington, DC	591833	91656	15	61	212	8680	42	4
Charlotte, NC	687456	10049	1	60	66	957	130	30
Raleigh, NC	392552	13056	3	58	64	1198	122.5	29
Cambridge, MA	105596	51160	48	56	108	4577	64	11
Boston, MA	609023	70902	12	55	179	5695	55.5	6
San Diego, CA	1279329	30041	2	54	156	2073	87	20
Atlanta, GA	537958	50612	9	52	181	2669	67	12
Mountain View, CA	71348	65990	92	51	134	10634	58	8
Chicago, IL	2853114	97494	3	48	323	3472	57	7
Sunnyvale, CA	132109	29586	22	41	57	6301	104	25
Los Angeles, CA	3833995	66183	2	40	194	5157	78	15
Palo Alto, CA	59395	88270	149	38	119	13787	58	9
